MetroCity Bankshares PE Ratio Historical Data,MetroCity Bankshares PE Ratio Historical Data,MetroCity Bankshares PE Ratio Historical Data,MetroCity Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.49,,14.62
2024-12-31,31.95,$1.88,16.99
2024-09-30,30.39,$2.32,13.1
2024-06-30,26.04,$2.12,12.28
2024-03-31,24.4,$1.97,12.39
2023-12-31,23.3,$2.02,11.53
2023-09-30,18.92,$2.10,9.01
2023-06-30,17.06,$2.31,7.38
2023-03-31,16.1,$2.43,6.63
2022-12-31,20.2,$2.57,7.86
2022-09-30,18.21,$2.73,6.67
2022-06-30,18.7,$2.73,6.85
2022-03-31,21.46,$2.66,8.07
2021-12-31,25.01,$2.40,10.42
2021-09-30,18.94,$2.09,9.06
2021-06-30,15.72,$1.79,8.78
2021-03-31,13.72,$1.53,8.97
2020-12-31,12.78,$1.41,9.06
2020-09-30,11.6,$1.46,7.94
