BOK Financial PE Ratio Historical Data,BOK Financial PE Ratio Historical Data,BOK Financial PE Ratio Historical Data,BOK Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,102.57,,12.62
2024-12-31,106.45,$8.13,13.09
2024-09-30,104.1,$7.27,14.32
2024-06-30,90.68,$7.13,12.72
2024-03-31,90.51,$6.86,13.19
2023-12-31,83.69,$8.00,10.46
2023-09-30,77.56,$9.25,8.38
2023-06-30,77.84,$9.53,8.17
2023-03-31,80.76,$9.22,8.76
2022-12-31,98.79,$7.70,12.83
2022-09-30,84.14,$6.90,12.19
2022-06-30,71.17,$7.32,9.72
2022-03-31,87.92,$7.76,11.33
2021-12-31,98.21,$8.95,10.97
2021-09-30,82.96,$9.45,8.78
2021-06-30,79.75,$8.90,8.96
2021-03-31,81.79,$7.42,11.02
2020-12-31,62.32,$6.20,10.05
2020-09-30,46.52,$5.55,8.38
2020-06-30,50.54,$5.36,9.43
2020-03-31,37.72,$6.37,5.92
2019-12-31,76.96,$7.03,10.95
2019-09-30,69.27,$6.97,9.94
2019-06-30,65.65,$6.76,9.71
2019-03-31,70.51,$6.58,10.72
2018-12-31,63.03,$6.65,9.48
2018-09-30,83.16,$6.26,13.28
2018-06-30,79.96,$5.78,13.83
2018-03-31,83.83,$5.38,15.58
2017-12-31,77.79,$5.12,15.19
2017-09-30,74.65,$4.77,15.65
2017-06-30,70.13,$4.59,15.28
2017-03-31,64.91,$4.24,15.31
2016-12-31,68.49,$3.53,19.4
2016-09-30,56.55,$3.66,15.45
2016-06-30,51.08,$3.62,14.11
2016-03-31,44.17,$3.77,11.72
2015-12-31,47.93,$4.21,11.38
2015-09-30,51.56,$4.25,12.13
2015-06-30,55.08,$4.25,12.96
2015-03-31,48.15,$4.20,11.47
2014-12-31,46.89,$4.23,11.08
2014-09-30,51.6,$4.36,11.83
2014-06-30,51.38,$4.37,11.76
2014-03-31,52.94,$4.43,11.95
2013-12-31,50.53,$4.60,10.98
2013-09-30,47.96,$4.75,10.1
2013-06-30,48.21,$4.92,9.8
2013-03-31,46.62,$5.19,8.98
2012-12-31,40.49,$5.13,7.89
2012-09-30,42.86,$4.90,8.75
2012-06-30,41.93,$4.87,8.61
2012-03-31,40.28,$4.45,9.05
2011-12-31,39.07,$4.17,9.37
2011-09-30,33.15,$4.05,8.18
2011-06-30,38.48,$3.75,10.26
2011-03-31,36.12,$3.67,9.84
2010-12-31,37.14,$3.61,10.29
2010-09-30,31.23,$3.38,9.24
2010-06-30,32.67,$3.19,10.24
2010-03-31,35.93,$3.03,11.86
2009-12-31,32.4,$2.96,10.94
