GSK PE Ratio Historical Data,GSK PE Ratio Historical Data,GSK PE Ratio Historical Data,GSK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.41,,24.79
2024-12-31,33.82,$1.59,21.27
2024-09-30,40.41,$1.54,26.24
2024-06-30,37.7,$2.48,15.2
2024-03-31,41.62,$2.76,15.08
2023-12-31,35.64,$3.01,11.84
2023-09-30,34.5,$3.72,9.27
2023-06-30,33.59,$8.76,3.83
2023-03-31,33.19,$8.28,4.01
2022-12-31,32.47,$8.58,3.78
2022-09-30,26.92,$8.16,3.3
2022-06-30,49.23,$3.02,16.3
2022-03-31,48.88,$3.46,14.12
2021-12-31,48.77,$3.00,16.26
2021-09-30,41.74,$2.95,14.15
2021-06-30,42.97,$2.96,14.5
2021-03-31,38.0,$3.41,11.14
2020-12-31,38.47,$3.68,10.47
2020-09-30,38.82,$4.06,9.56
2020-06-30,41.57,$4.21,9.87
2020-03-31,38.17,$3.43,11.15
2019-12-31,46.72,$2.98,15.71
2019-09-30,41.96,$2.93,14.34
2019-06-30,38.9,$2.90,13.42
2019-03-31,40.14,$2.59,15.51
2018-12-31,36.17,$2.43,14.91
2018-09-30,37.58,$1.26,29.76
2018-06-30,37.26,$1.14,32.75
2018-03-31,35.66,$0.71,50.05
2017-12-31,31.81,$0.99,32.21
2017-09-30,35.89,$1.53,23.54
2017-06-30,37.64,$1.25,30.11
2017-03-31,36.38,$1.04,35.07
2016-12-31,32.78,$0.59,55.79
2016-09-30,36.28,$0.15,241.89
2016-06-30,36.08,$0.04,962.1
2016-03-31,33.36,$0.48,70.23
2015-12-31,32.19,$6.56,4.91
2015-09-30,30.27,$7.64,3.96
2015-06-30,32.37,$7.55,4.29
2015-03-31,35.4,$8.01,4.42
2014-12-31,32.31,$2.29,14.12
2014-09-30,34.29,$3.54,9.69
2014-06-30,39.35,$4.00,9.84
2014-03-31,38.86,$4.24,9.17
2013-12-31,38.32,$4.43,8.66
2013-09-30,35.59,$3.09,11.53
2013-06-30,35.07,$3.20,10.96
2013-03-31,32.57,$3.38,9.65
2012-12-31,29.73,$3.68,8.09
2012-09-30,31.19,$3.94,7.92
2012-06-30,30.4,$4.10,7.41
2012-03-31,29.6,$3.99,7.42
2011-12-31,29.53,$4.11,7.18
2011-09-30,26.39,$2.60,10.15
2011-06-30,27.1,$2.50,10.84
2011-03-31,23.97,$1.40,17.12
2010-12-31,24.09,$1.21,19.87
2010-09-30,23.96,$3.05,7.86
2010-06-30,20.36,$3.15,6.46
2010-03-31,22.77,$4.54,5.02
2009-12-31,24.6,$4.34,5.67
