Vince Holding PE Ratio Historical Data,Vince Holding PE Ratio Historical Data,Vince Holding PE Ratio Historical Data,Vince Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.95,,5.27
2024-10-31,1.8,$0.37,4.86
2024-07-31,1.67,$0.11,15.18
2024-04-30,1.99,$2.42,0.82
2024-01-31,3.34,$2.04,1.64
2023-10-31,1.35,$1.52,0.89
2023-07-31,2.9,$1.01,2.87
2023-04-30,6.85,$-2.58,0.0
2023-01-31,7.33,$-3.15,0.0
2022-10-31,8.1,$-2.49,0.0
2022-07-31,6.95,$-1.88,0.0
2022-04-30,9.11,$-0.70,0.0
2022-01-31,9.0,$-1.08,0.0
2021-10-31,9.65,$-1.33,0.0
2021-07-31,7.95,$-1.09,0.0
2021-04-30,11.28,$-2.32,0.0
2021-01-31,8.19,$-5.46,0.0
2020-10-31,4.0,$-0.69,0.0
2020-07-31,4.57,$-0.44,0.0
2020-04-30,5.97,$0.92,6.49
2020-01-31,14.77,$4.44,3.33
2019-10-31,21.12,$0.21,100.57
2019-07-31,14.04,$0.11,127.64
2019-04-30,13.5,$-0.30,0.0
2019-01-31,11.98,$-0.19,0.0
2018-10-31,13.83,$6.16,2.25
2018-07-31,17.71,$6.00,2.95
2018-04-30,8.98,$4.33,2.07
2018-01-31,7.32,$2.92,2.51
2017-10-31,3.61,$-36.29,0.0
2017-07-31,5.57,$-36.00,0.0
2017-04-30,10.0,$-34.40,0.0
2017-01-31,30.5,$-33.00,0.0
2016-10-31,54.5,$0.30,181.67
2016-07-31,50.0,$1.20,41.67
2016-04-30,61.8,$0.20,309.0
2016-01-31,51.7,$1.30,39.77
2015-10-31,45.5,$3.60,12.64
2015-07-31,98.1,$5.50,17.84
2015-04-30,184.3,$9.60,19.2
2015-01-31,234.5,$9.40,24.95
2014-10-31,350.5,$6.80,51.54
