TransCode Therapeutics PE Ratio Historical Data,TransCode Therapeutics PE Ratio Historical Data,TransCode Therapeutics PE Ratio Historical Data,TransCode Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.77,,0.0
2024-09-30,0.57,$-51.16,0.0
2024-06-30,1.01,"$-2,263.70",0.0
2024-03-31,0.68,"$-6,582.51",0.0
2023-12-31,0.16,"$-15,273.93",0.0
2023-09-30,0.5,"$-25,570.96",0.0
2023-06-30,2.3,"$-32,066.01",0.0
2023-03-31,0.34,"$-37,227.72",0.0
2022-12-31,0.67,"$-35,643.56",0.0
2022-09-30,1.1,"$-31,419.14",0.0
2022-06-30,1.26,"$-27,986.80",0.0
