NaaS Technology PE Ratio Historical Data,NaaS Technology PE Ratio Historical Data,NaaS Technology PE Ratio Historical Data,NaaS Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.92,,0.0
2024-09-30,3.99,$-9.91,0.0
2024-06-30,2.43,$-14.23,0.0
2024-03-31,24.8,$-17.00,0.0
2023-12-31,30.4,$-15.80,0.0
2023-09-30,69.8,$-17.80,0.0
2023-06-30,106.6,$-27.40,0.0
2023-03-31,213.0,$-30.20,0.0
2022-06-30,119.6,$-28.80,0.0
2021-06-30,261.0,$-14.00,0.0
2021-03-31,405.0,$-15.00,0.0
2020-12-31,609.0,$-34.00,0.0
2020-09-30,606.0,$-21.00,0.0
2020-06-30,388.0,$-18.00,0.0
2020-03-31,407.0,$2.00,203.5
2019-12-31,699.0,$37.00,18.89
2019-09-30,837.0,$32.00,26.16
2019-06-30,953.0,$30.00,31.77
2019-03-31,973.0,$36.00,27.03
2018-12-31,796.0,$37.00,21.51
