Radian Group PE Ratio Historical Data,Radian Group PE Ratio Historical Data,Radian Group PE Ratio Historical Data,Radian Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.99,,8.14
2024-12-31,31.72,$3.93,8.07
2024-09-30,34.45,$3.86,8.93
2024-06-30,30.68,$3.85,7.97
2024-03-31,33.02,$3.78,8.73
2023-12-31,27.91,$3.78,7.38
2023-09-30,24.33,$3.88,6.27
2023-06-30,24.29,$4.10,5.93
2023-03-31,21.05,$4.34,4.85
2022-12-31,17.98,$4.37,4.11
2022-09-30,18.0,$4.43,4.06
2022-06-30,18.18,$3.90,4.66
2022-03-31,20.35,$3.55,5.73
2021-12-31,19.19,$3.18,6.03
2021-09-30,20.5,$2.87,7.14
2021-06-30,19.96,$2.90,6.88
2021-03-31,20.73,$1.95,10.63
2020-12-31,17.95,$2.01,8.93
2020-09-30,12.86,$2.04,6.31
2020-06-30,13.54,$2.17,6.24
2020-03-31,11.21,$3.10,3.62
2019-12-31,21.67,$3.18,6.81
2019-09-30,19.67,$3.03,6.49
2019-06-30,19.68,$2.86,6.88
2019-03-31,17.86,$3.04,5.87
2018-12-31,14.09,$2.78,5.07
2018-09-30,17.79,$2.17,8.2
2018-06-30,13.96,$1.81,7.71
2018-03-31,16.39,$0.72,22.76
2017-12-31,17.73,$0.54,32.84
2017-09-30,16.08,$0.78,20.62
2017-06-30,14.07,$0.85,16.55
2017-03-31,15.45,$1.42,10.88
2016-12-31,15.46,$1.37,11.29
2016-09-30,11.65,$1.42,8.21
2016-06-30,8.96,$1.34,6.69
2016-03-31,10.66,$1.12,9.52
2015-12-31,11.51,$1.22,9.43
2015-09-30,13.67,$2.68,5.1
2015-06-30,16.12,$3.06,5.27
2015-03-31,14.42,$3.62,3.98
2014-12-31,14.36,$4.17,3.44
2014-09-30,12.24,$2.58,4.75
2014-06-30,12.72,$1.84,6.91
2014-03-31,12.9,$0.87,14.83
2013-12-31,12.12,$-1.37,0.0
2013-09-30,11.95,$-2.90,0.0
2013-06-30,9.97,$-2.72,0.0
2013-03-31,9.19,$-3.43,0.0
2012-12-31,5.24,$-3.41,0.0
2012-09-30,3.72,$-2.99,0.0
2012-06-30,2.82,$-1.73,0.0
2012-03-31,3.72,$0.20,18.6
2011-12-31,2.0,$2.25,0.89
2011-09-30,1.87,$-5.38,0.0
2011-06-30,3.61,$-5.91,0.0
2011-03-31,5.81,$-12.72,0.0
2010-12-31,6.88,$-17.26,0.0
2010-09-30,6.66,$-9.83,0.0
2010-06-30,6.17,$-11.53,0.0
2010-03-31,13.31,$-2.93,0.0
2009-12-31,6.22,$-1.85,0.0
