A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,66.71,,18.38
2024-12-31,68.21,$3.63,18.79
2024-09-30,89.43,$3.80,23.53
2024-06-30,81.11,$3.88,20.9
2024-03-31,88.39,$3.86,22.9
2023-12-31,81.13,$3.70,21.93
2023-09-30,64.78,$2.00,32.39
2023-06-30,71.0,$1.81,39.22
2023-03-31,67.16,$1.58,42.51
2022-12-31,55.32,$1.50,36.88
2022-09-30,46.69,$3.15,14.82
2022-06-30,52.31,$3.26,16.05
2022-03-31,60.84,$3.18,19.13
2021-12-31,81.45,$3.02,26.97
2021-09-30,57.71,$2.89,19.97
2021-06-30,67.84,$2.72,24.94
2021-03-31,63.41,$2.41,26.31
2020-12-31,51.18,$2.13,24.03
2020-09-30,49.06,$1.95,25.16
2020-06-30,43.57,$1.83,23.81
2020-03-31,34.77,$2.02,17.21
2019-12-31,43.57,$2.23,19.54
2019-09-30,43.42,$2.41,18.02
2019-06-30,42.72,$2.49,17.15
2019-03-31,48.11,$2.54,18.94
2018-12-31,38.35,$2.58,14.86
2018-09-30,47.7,$1.97,24.21
2018-06-30,52.71,$1.90,27.74
2018-03-31,56.5,$1.77,31.92
2017-12-31,54.3,$1.70,31.94
2017-09-30,52.54,$2.04,25.75
2017-06-30,49.67,$1.97,25.21
2017-03-31,44.99,$1.93,23.31
2016-12-31,41.52,$1.85,22.5
2016-09-30,43.2,$1.83,23.67
2016-06-30,38.43,$1.77,21.77
2016-03-31,33.18,$1.67,19.87
2015-12-31,33.19,$1.58,21.01
2015-09-30,28.18,$1.43,19.77
2015-06-30,31.03,$1.30,23.96
2015-03-31,28.22,$1.22,23.23
2014-12-31,24.17,$1.15,21.11
2014-09-30,20.2,$1.08,18.7
2014-06-30,21.12,$1.05,20.11
2014-03-31,19.54,$0.96,20.35
2013-12-31,22.83,$0.92,24.95
2013-09-30,19.08,$0.90,21.26
2013-06-30,15.27,$0.85,18.07
2013-03-31,15.43,$0.81,19.11
2012-12-31,13.19,$0.85,15.48
2012-09-30,12.0,$0.81,14.77
2012-06-30,10.15,$1.59,6.38
2012-03-31,9.3,$1.68,5.55
2011-12-31,8.27,$1.64,5.04
2011-09-30,6.58,$1.64,4.01
2011-06-30,8.65,$0.84,10.35
2011-03-31,9.04,$0.66,13.79
2010-12-31,7.74,$0.60,12.81
2010-09-30,7.83,$0.55,14.1
2010-06-30,6.5,$0.57,11.37
2010-03-31,7.07,$0.60,11.82
2009-12-31,5.82,$0.48,12.17
