Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,518.64,,31.38
2024-12-31,520.23,$16.53,31.47
2024-09-30,618.11,$15.95,38.75
2024-06-30,552.24,$16.12,34.26
2024-03-31,580.01,$15.59,37.2
2023-12-31,529.35,$15.45,34.26
2023-09-30,504.45,$15.26,33.06
2023-06-30,519.63,$14.63,35.52
2023-03-31,573.64,$15.34,37.4
2022-12-31,547.74,$17.63,31.07
2022-09-30,504.2,$17.79,28.34
2022-06-30,539.79,$18.79,28.73
2022-03-31,586.51,$19.18,30.58
2021-12-31,662.2,$19.45,34.05
2021-09-30,566.78,$21.52,26.34
2021-06-30,500.22,$21.57,23.19
2021-03-31,452.29,$19.86,22.77
2020-12-31,461.34,$15.95,28.92
2020-09-30,437.1,$12.20,35.83
2020-06-30,358.53,$9.24,38.8
2020-03-31,280.44,$9.12,30.75
2019-12-31,321.02,$9.17,35.01
2019-09-30,287.64,$8.90,32.32
2019-06-30,289.84,$8.77,33.05
2019-03-31,269.96,$7.84,34.43
2018-12-31,220.55,$7.25,30.42
2018-09-30,240.38,$6.33,37.97
2018-06-30,203.85,$5.92,34.43
2018-03-31,203.03,$5.63,36.06
2017-12-31,186.57,$5.60,33.32
2017-09-30,185.76,$5.89,31.54
2017-06-30,171.16,$5.74,29.82
2017-03-31,150.56,$5.48,27.47
2016-12-31,138.17,$5.09,27.15
2016-09-30,155.6,$5.00,31.12
2016-06-30,144.4,$4.99,28.94
2016-03-31,138.23,$4.96,27.87
2015-12-31,138.34,$4.91,28.17
2015-09-30,119.12,$4.90,24.31
2015-06-30,126.25,$4.89,25.82
2015-03-31,130.56,$4.31,30.29
2014-12-31,121.62,$4.71,25.82
2014-09-30,118.0,$4.14,28.5
2014-06-30,114.27,$3.83,29.84
2014-03-31,116.29,$3.90,29.82
2013-12-31,107.56,$3.47,31.0
2013-09-30,88.88,$3.59,24.76
2013-06-30,81.5,$3.52,23.15
2013-03-31,73.53,$3.39,21.69
2012-12-31,61.19,$3.21,19.06
2012-09-30,56.31,$2.94,19.15
2012-06-30,49.58,$2.84,17.46
2012-03-31,53.71,$3.57,15.05
2011-12-31,42.74,$3.46,12.35
2011-09-30,48.13,$3.44,13.99
2011-06-30,61.2,$3.41,17.95
2011-03-31,52.8,$2.62,20.15
2010-12-31,52.62,$2.54,20.72
2010-09-30,45.51,$2.44,18.65
2010-06-30,46.62,$2.31,20.18
2010-03-31,48.89,$2.23,21.93
2009-12-31,45.33,$2.02,22.44
