Halliburton PE Ratio Historical Data,Halliburton PE Ratio Historical Data,Halliburton PE Ratio Historical Data,Halliburton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.99,,8.83
2024-12-31,27.19,$2.83,9.61
2024-09-30,28.89,$2.87,10.07
2024-06-30,33.4,$3.01,11.1
2024-03-31,38.98,$2.89,13.49
2023-12-31,35.57,$2.93,12.14
2023-09-30,39.67,$2.91,13.63
2023-06-30,32.19,$2.72,11.83
2023-03-31,30.71,$2.16,14.22
2022-12-31,38.03,$1.73,21.98
2022-09-30,23.71,$1.93,12.29
2022-06-30,30.08,$1.59,18.92
2022-03-31,36.22,$1.73,20.94
2021-12-31,21.79,$1.63,13.37
2021-09-30,20.56,$0.44,46.73
2021-06-30,21.94,$0.16,137.12
2021-03-31,20.32,$-2.01,0.0
2020-12-31,17.86,$-3.36,0.0
2020-09-30,11.36,$-4.97,0.0
2020-06-30,12.2,$-4.61,0.0
2020-03-31,6.42,$-2.61,0.0
2019-12-31,22.67,$-1.28,0.0
2019-09-30,17.32,$1.36,12.73
2019-06-30,20.69,$1.52,13.61
2019-03-31,26.44,$2.01,13.16
2018-12-31,23.99,$1.89,12.69
2018-09-30,36.36,$0.19,191.37
2018-06-30,40.24,$0.11,365.83
2018-03-31,41.76,$-0.44,0.0
2017-12-31,43.31,$-0.53,0.0
2017-09-30,40.62,$0.24,169.27
2017-06-30,37.52,$-0.17,0.0
2017-03-31,43.06,$-3.93,0.0
2016-12-31,47.17,$-6.70,0.0
2016-09-30,39.01,$-6.56,0.0
2016-06-30,39.2,$-6.63,0.0
2016-03-31,30.79,$-2.84,0.0
2015-12-31,29.18,$-0.79,0.0
2015-09-30,30.17,$0.30,100.55
2015-06-30,36.59,$1.77,20.67
2015-03-31,37.13,$2.62,14.17
2014-12-31,33.14,$4.11,8.06
2014-09-30,54.12,$3.98,13.6
2014-06-30,59.44,$3.36,17.69
2014-03-31,49.18,$3.18,15.46
2013-12-31,42.27,$2.43,17.39
2013-09-30,39.98,$2.22,18.01
2013-06-30,34.55,$2.08,16.61
2013-03-31,33.37,$2.14,15.59
2012-12-31,28.56,$2.84,10.06
2012-09-30,27.66,$3.10,8.92
2012-06-30,23.24,$3.19,7.29
2012-03-31,27.09,$3.20,8.47
2011-12-31,28.1,$3.08,9.12
2011-09-30,24.79,$2.76,8.98
2011-06-30,41.34,$2.62,15.78
2011-03-31,40.32,$2.35,17.16
2010-12-31,32.97,$2.02,16.32
2010-09-30,26.64,$1.63,16.35
2010-06-30,19.72,$1.32,14.94
2010-03-31,24.12,$1.08,22.33
2009-12-31,24.01,$1.27,18.91
