Akoya Biosciences PE Ratio Historical Data,Akoya Biosciences PE Ratio Historical Data,Akoya Biosciences PE Ratio Historical Data,Akoya Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.68,,0.0
2024-09-30,2.72,$-1.18,0.0
2024-06-30,2.34,$-1.23,0.0
2024-03-31,4.69,$-1.47,0.0
2023-12-31,4.88,$-1.48,0.0
2023-09-30,4.65,$-1.76,0.0
2023-06-30,7.39,$-1.97,0.0
2023-03-31,8.18,$-1.93,0.0
2022-12-31,9.57,$-1.88,0.0
2022-09-30,11.75,$-1.85,0.0
2022-06-30,12.85,$-1.69,0.0
2022-03-31,10.99,$-1.42,0.0
