Pactiv Evergreen PE Ratio Historical Data,Pactiv Evergreen PE Ratio Historical Data,Pactiv Evergreen PE Ratio Historical Data,Pactiv Evergreen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.91,,0.0
2024-12-31,17.47,$-1.04,0.0
2024-09-30,11.51,$-0.92,0.0
2024-06-30,11.32,$0.42,26.95
2024-03-31,14.32,$-0.46,0.0
2023-12-31,13.71,$-1.26,0.0
2023-09-30,8.13,$-1.23,0.0
2023-06-30,7.57,$-0.41,0.0
2023-03-31,8.0,$0.77,10.39
2022-12-31,11.36,$1.77,6.42
2022-09-30,8.73,$1.79,4.88
2022-06-30,9.87,$0.81,12.19
2022-03-31,9.87,$0.45,21.94
2021-12-31,12.31,$0.12,102.61
2021-09-30,12.06,$1.28,9.42
2021-06-30,14.41,$-1.31,0.0
