Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,145.23,,30.57
2024-11-30,146.27,$4.75,30.79
2024-08-31,130.33,$4.69,27.79
2024-05-31,118.43,$4.67,25.36
2024-02-29,119.88,$4.59,26.12
2023-11-30,118.39,$4.50,26.31
2023-08-31,117.72,$4.41,26.69
2023-05-31,100.34,$4.30,23.34
2023-02-28,104.71,$4.15,25.23
2022-11-30,116.84,$4.05,28.85
2022-08-31,115.41,$3.97,29.07
2022-05-31,115.18,$3.84,30.0
2022-02-28,110.01,$3.75,29.34
2021-11-30,109.51,$3.53,31.02
2021-08-31,104.61,$3.37,31.04
2021-05-31,91.89,$3.04,30.23
2021-02-28,82.2,$2.92,28.15
2020-11-30,83.48,$2.93,28.49
2020-08-31,68.02,$2.90,23.46
2020-05-31,63.74,$3.04,20.97
2020-02-29,67.66,$3.07,22.04
2019-11-30,74.67,$2.99,24.97
2019-08-31,70.32,$2.92,24.08
2019-05-31,73.29,$2.86,25.63
2019-02-28,65.32,$2.85,22.92
2018-11-30,59.54,$2.67,22.3
2018-08-31,61.11,$2.62,23.32
2018-05-31,54.27,$2.58,21.04
2018-02-28,53.41,$2.49,21.45
2017-11-30,54.8,$2.33,23.52
2017-08-31,46.07,$2.29,20.12
2017-05-31,47.43,$2.26,20.99
2017-02-28,48.8,$2.21,22.08
2016-11-30,46.49,$2.15,21.62
2016-08-31,47.45,$2.11,22.49
2016-05-31,42.08,$2.09,20.13
2016-02-29,39.56,$2.04,19.39
2015-11-30,41.38,$2.00,20.69
2015-08-31,33.79,$1.95,17.33
2015-05-31,37.05,$1.84,20.14
2015-02-28,37.08,$1.80,20.6
2014-11-30,34.99,$1.78,19.66
2014-08-31,30.49,$1.74,17.52
2014-05-31,29.82,$1.71,17.44
2014-02-28,30.03,$1.65,18.2
2013-11-30,31.19,$1.61,19.37
2013-08-31,27.36,$1.59,17.21
2013-05-31,26.1,$1.57,16.63
2013-02-28,23.21,$1.57,14.78
2012-11-30,22.37,$1.54,14.53
2012-08-31,22.63,$1.52,14.89
2012-05-31,20.2,$1.51,13.38
2012-02-29,20.87,$1.50,13.91
2011-11-30,19.22,$1.49,12.9
2011-08-31,17.62,$1.47,11.99
2011-05-31,20.86,$1.42,14.69
2011-02-28,21.52,$1.41,15.26
2010-11-30,18.09,$1.36,13.3
2010-08-31,15.6,$1.34,11.64
2010-05-31,17.68,$1.32,13.39
2010-02-28,18.36,$1.32,13.91
2009-11-30,19.02,$1.37,13.88
