Abacus Life PE Ratio Historical Data,Abacus Life PE Ratio Historical Data,Abacus Life PE Ratio Historical Data,Abacus Life PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.42,,0.0
2024-09-30,10.12,$-0.18,0.0
2024-06-30,8.65,$-0.10,0.0
2024-03-31,12.18,$0.02,609.0
2023-12-31,9.66,$0.04,241.5
2023-09-30,6.83,$0.14,48.79
2023-06-30,10.03,$0.13,77.15
2023-03-31,10.25,0,0.0
2022-12-31,10.16,0,0.0
2022-09-30,10.05,0,0.0
2022-06-30,9.98,0,0.0
2022-03-31,9.91,0,0.0
2021-12-31,9.87,0,0.0
2021-09-30,9.84,0,0.0
2021-06-30,9.76,0,0.0
