SM Energy PE Ratio Historical Data,SM Energy PE Ratio Historical Data,SM Energy PE Ratio Historical Data,SM Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.93,,4.63
2024-12-31,38.76,$6.68,5.8
2024-09-30,39.79,$7.16,5.56
2024-06-30,42.87,$6.95,6.17
2024-03-31,49.25,$6.38,7.72
2023-12-31,38.06,$6.87,5.54
2023-09-30,38.83,$6.84,5.68
2023-06-30,30.85,$8.83,3.49
2023-03-31,27.32,$10.18,2.68
2022-12-31,33.63,$8.95,3.76
2022-09-30,36.19,$10.29,3.52
2022-06-30,32.9,$7.11,4.63
2022-03-31,37.47,$2.63,14.25
2021-12-31,28.36,$0.05,567.27
2021-09-30,25.37,$-4.82,0.0
2021-06-30,23.69,$-6.37,0.0
2021-03-31,15.73,$-5.28,0.0
2020-12-31,5.88,$-6.73,0.0
2020-09-30,1.52,$-6.19,0.0
2020-06-30,3.58,$-4.96,0.0
2020-03-31,1.16,$-3.72,0.0
2019-12-31,10.68,$-1.66,0.0
2019-09-30,9.15,$1.97,4.64
2019-06-30,11.82,$0.39,30.3
2019-03-31,16.46,$0.09,182.89
2018-12-31,14.57,$4.48,3.25
2018-09-30,29.62,$1.51,19.61
2018-06-30,24.13,$1.92,12.57
2018-03-31,16.9,$0.69,24.49
2017-12-31,20.7,$-1.45,0.0
2017-09-30,16.58,$-3.41,0.0
2017-06-30,15.45,$-3.13,0.0
2017-03-31,22.4,$-4.53,0.0
2016-12-31,32.16,$-10.30,0.0
2016-09-30,35.93,$-13.11,0.0
2016-06-30,25.15,$-12.54,0.0
2016-03-31,17.42,$-10.91,0.0
2015-12-31,18.28,$-6.60,0.0
2015-09-30,29.75,$3.32,8.96
2015-06-30,42.82,$6.32,6.78
2015-03-31,47.94,$8.05,5.96
2014-12-31,35.79,$9.80,3.65
2014-09-30,72.29,$4.99,14.49
2014-06-30,77.95,$2.98,26.16
2014-03-31,66.03,$3.23,20.44
2013-12-31,76.98,$2.52,30.55
2013-09-30,71.45,$1.40,51.04
2013-06-30,55.52,$-0.22,0.0
2013-03-31,54.77,$-0.98,0.0
2012-12-31,48.29,$-0.84,0.0
2012-09-30,50.0,$-1.71,0.0
2012-06-30,45.38,$2.28,19.9
2012-03-31,65.35,$3.77,17.33
2011-12-31,67.5,$3.09,21.84
2011-09-30,55.97,$5.55,10.08
2011-06-30,67.81,$2.38,28.49
2011-03-31,68.42,$0.80,85.52
2010-12-31,54.35,$3.05,17.82
2010-09-30,34.5,$2.50,13.8
2010-06-30,36.99,$2.19,16.89
2010-03-31,32.02,$1.78,17.99
2009-12-31,31.5,$-1.59,0.0
