Air Industries Group PE Ratio Historical Data,Air Industries Group PE Ratio Historical Data,Air Industries Group PE Ratio Historical Data,Air Industries Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.94,,0.0
2024-09-30,5.58,$-0.18,0.0
2024-06-30,3.47,$-0.46,0.0
2024-03-31,4.7,$-0.67,0.0
2023-12-31,3.25,$-0.65,0.0
2023-09-30,2.87,$-0.99,0.0
2023-06-30,3.55,$-0.63,0.0
2023-03-31,3.81,$-0.51,0.0
2022-12-31,4.25,$-0.32,0.0
2022-09-30,6.6,$0.46,14.35
2022-06-30,7.0,$0.50,14.0
2022-03-31,8.35,$0.60,13.92
2021-12-31,9.07,$0.60,15.12
2021-09-30,10.7,$0.10,107.0
2021-06-30,13.0,$-0.10,0.0
2021-03-31,14.7,$-0.70,0.0
2020-12-31,12.3,$-0.40,0.0
2020-09-30,12.2,$-0.40,0.0
2020-06-30,11.9,$-0.20,0.0
2020-03-31,10.6,0,0.0
2019-12-31,23.0,$-0.60,0.0
2019-09-30,13.07,$-0.60,0.0
2019-06-30,10.9,$-1.80,0.0
2019-03-31,11.9,$-1.40,0.0
2018-12-31,7.15,$-1.60,0.0
2018-09-30,13.9,$-1.60,0.0
2018-06-30,18.0,$-2.50,0.0
2018-03-31,15.4,$-6.20,0.0
2017-12-31,16.9,$-7.20,0.0
2017-09-30,14.2,$-22.50,0.0
2017-06-30,17.9,$-23.40,0.0
2017-03-31,36.5,$-20.20,0.0
2016-12-31,31.5,$-20.60,0.0
2016-09-30,45.24,$-6.20,0.0
2016-06-30,47.5,$-2.80,0.0
2016-03-31,60.7,$-3.20,0.0
2015-12-31,81.5,$-1.20,0.0
2015-09-30,86.95,$-1.30,0.0
2015-06-30,98.14,$-1.20,0.0
2015-03-31,96.64,$0.50,193.27
2014-12-31,100.26,$1.00,100.26
2014-09-30,98.35,$3.20,30.73
2014-06-30,100.48,$7.00,14.35
2014-03-31,84.39,$6.50,12.98
2013-12-31,79.69,$6.40,12.45
2013-09-30,69.75,$6.60,10.57
2013-06-30,53.31,$3.40,15.68
2013-03-31,51.87,$3.80,13.65
2012-12-31,62.22,$5.60,11.11
2012-09-30,51.66,$4.20,12.3
2012-06-30,53.18,$5.10,10.43
2012-03-31,26.89,$5.70,4.72
2011-12-31,25.02,$4.40,5.69
