Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.59,,18.2
2024-12-31,37.64,$2.45,15.36
2024-09-30,40.15,$2.43,16.52
2024-06-30,33.92,$2.43,13.96
2024-03-31,36.45,$2.32,15.71
2023-12-31,34.46,$2.33,14.79
2023-09-30,35.95,$2.14,16.8
2023-06-30,38.41,$2.12,18.12
2023-03-31,39.16,$2.25,17.4
2022-12-31,40.06,$2.19,18.29
2022-09-30,34.41,$2.16,15.93
2022-06-30,41.33,$2.71,15.25
2022-03-31,43.12,$2.65,16.27
2021-12-31,36.98,$1.74,21.25
2021-09-30,30.73,$1.71,17.97
2021-06-30,27.94,$0.99,28.23
2021-03-31,27.35,$1.11,24.64
2020-12-31,26.15,$2.01,13.01
2020-09-30,21.95,$2.43,9.03
2020-06-30,22.05,$2.71,8.14
2020-03-31,22.14,$2.68,8.26
2019-12-31,27.21,$3.01,9.04
2019-09-30,28.6,$2.38,12.02
2019-06-30,28.15,$2.35,11.98
2019-03-31,29.22,$2.41,12.12
2018-12-31,26.09,$2.08,12.54
2018-09-30,25.06,$3.86,6.49
2018-06-30,24.26,$3.95,6.14
2018-03-31,22.03,$3.48,6.33
2017-12-31,22.05,$3.95,5.58
2017-09-30,20.91,$2.23,9.38
2017-06-30,19.85,$1.91,10.39
2017-03-31,19.61,$2.11,9.29
2016-12-31,19.16,$1.23,15.58
2016-09-30,17.79,$1.34,13.28
2016-06-30,19.25,$1.50,12.84
2016-03-31,18.82,$1.95,9.65
2015-12-31,14.43,$2.56,5.64
2015-09-30,15.27,$2.25,6.79
2015-06-30,16.0,$2.71,5.9
2015-03-31,16.96,$2.57,6.6
2014-12-31,18.54,$1.87,9.91
2014-09-30,16.9,$2.43,6.95
2014-06-30,17.91,$2.14,8.37
2014-03-31,16.33,$2.11,7.74
2013-12-31,13.19,$2.01,6.56
2013-09-30,14.11,$1.87,7.55
2013-06-30,14.55,$1.36,10.7
2013-03-31,16.11,$1.12,14.38
2012-12-31,13.66,$1.40,9.76
2012-09-30,16.06,$1.87,8.59
2012-06-30,16.75,$2.42,6.92
2012-03-31,17.29,$3.02,5.73
2011-12-31,18.8,$3.75,5.01
2011-09-30,18.26,$3.63,5.03
2011-06-30,18.13,$4.00,4.53
2011-03-31,17.23,$3.74,4.61
2010-12-31,17.19,$3.86,4.45
2010-09-30,17.35,$3.95,4.39
2010-06-30,15.28,$3.82,4.0
2010-03-31,17.41,$4.14,4.21
2009-12-31,19.19,$4.09,4.69
