Simulations Plus PE Ratio Historical Data,Simulations Plus PE Ratio Historical Data,Simulations Plus PE Ratio Historical Data,Simulations Plus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.68,,61.7
2024-11-30,31.77,$0.40,79.43
2024-08-31,36.25,$0.49,73.98
2024-05-31,48.17,$0.48,100.35
2024-02-29,41.38,$0.53,78.08
2023-11-30,39.03,$0.53,73.64
2023-08-31,44.22,$0.49,90.24
2023-05-31,43.87,$0.51,86.01
2023-02-28,37.71,$0.51,73.94
2022-11-30,40.18,$0.52,77.26
2022-08-31,59.35,$0.61,97.3
2022-05-31,46.88,$0.57,82.25
2022-02-28,38.85,$0.55,70.63
2021-11-30,46.25,$0.49,94.4
2021-08-31,43.56,$0.46,94.69
2021-05-31,51.83,$0.56,92.55
2021-02-28,70.37,$0.54,130.31
2020-11-30,54.87,$0.51,107.59
2020-08-31,58.36,$0.50,116.72
2020-05-31,49.59,$0.50,99.17
2020-02-29,31.82,$0.50,63.64
2019-11-30,32.6,$0.50,65.2
2019-08-31,35.16,$0.48,73.26
2019-05-31,24.37,$0.44,55.39
2019-02-28,19.89,$0.41,48.5
2018-11-30,19.16,$0.48,39.91
2018-08-31,20.09,$0.49,41.01
2018-05-31,18.44,$0.48,38.42
2018-02-28,14.89,$0.47,31.67
2017-11-30,14.83,$0.35,42.38
2017-08-31,13.78,$0.33,41.76
2017-05-31,11.56,$0.32,36.12
2017-02-28,9.11,$0.31,29.37
2016-11-30,8.87,$0.31,28.62
2016-08-31,8.05,$0.29,27.75
2016-05-31,7.09,$0.27,26.26
2016-02-29,8.83,$0.27,32.69
2015-11-30,8.2,$0.26,31.52
2015-08-31,6.16,$0.23,26.79
2015-05-31,5.35,$0.21,25.45
2015-02-28,5.71,$0.18,31.74
2014-11-30,5.67,$0.17,33.35
2014-08-31,5.94,$0.18,33.03
2014-05-31,5.3,$0.19,27.89
2014-02-28,4.96,$0.17,29.17
2013-11-30,4.33,$0.18,24.06
2013-08-31,4.09,$0.18,22.74
2013-05-31,3.74,$0.18,20.76
2013-02-28,3.4,$0.17,19.98
2012-11-30,3.72,$0.16,23.27
2012-08-31,3.61,$0.18,20.06
2012-05-31,3.17,$0.17,18.63
2012-02-29,3.17,$0.19,16.69
2011-11-30,2.41,$0.20,12.04
2011-08-31,2.52,$0.17,14.84
2011-05-31,2.27,$0.18,12.59
2011-02-28,2.57,$0.15,17.14
2010-11-30,2.32,$0.13,17.83
2010-08-31,1.92,$0.13,14.79
2010-05-31,1.88,$0.12,15.7
2010-02-28,1.31,$0.11,11.86
2009-11-30,1.1,$0.09,12.26
