Kinross Gold PE Ratio Historical Data,Kinross Gold PE Ratio Historical Data,Kinross Gold PE Ratio Historical Data,Kinross Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.32,,20.2
2024-09-30,9.33,$0.61,15.3
2024-06-30,8.27,$0.41,20.16
2024-03-31,6.09,$0.36,16.92
2023-12-31,5.98,$0.34,17.58
2023-09-30,4.48,$0.20,22.41
2023-06-30,4.66,$0.16,29.12
2023-03-31,4.57,$0.01,457.21
2022-12-31,3.94,$-0.47,0.0
2022-09-30,3.59,$-0.39,0.0
2022-06-30,3.39,$-0.48,0.0
2022-03-31,5.53,$-0.36,0.0
2021-12-31,5.44,$0.17,31.98
2021-09-30,4.99,$0.79,6.32
2021-06-30,5.88,$1.02,5.77
2021-03-31,6.16,$1.08,5.7
2020-12-31,6.74,$1.06,6.36
2020-09-30,8.04,$0.85,9.46
2020-06-30,6.58,$0.71,9.27
2020-03-31,3.63,$0.62,5.85
2019-12-31,4.32,$0.57,7.58
2019-09-30,4.19,$0.14,29.95
2019-06-30,3.54,$0.01,0.0
2019-03-31,3.14,$-0.05,0.0
2018-12-31,2.95,$-0.02,0.0
2018-09-30,2.46,$0.17,14.48
2018-06-30,3.43,$0.30,11.42
2018-03-31,3.6,$0.33,10.91
2017-12-31,3.94,$0.36,10.94
2017-09-30,3.86,$0.10,38.64
2017-06-30,3.71,$0.05,74.19
2017-03-31,3.2,0,0.0
2016-12-31,2.83,$-0.12,0.0
2016-09-30,3.84,$-0.76,0.0
2016-06-30,4.46,$-0.81,0.0
2016-03-31,3.1,$-0.86,0.0
2015-12-31,1.66,$-0.86,0.0
2015-09-30,1.57,$-1.42,0.0
2015-06-30,2.11,$-1.37,0.0
2015-03-31,2.04,$-1.26,0.0
2014-12-31,2.57,$-1.22,0.0
2014-09-30,3.01,$-0.58,0.0
2014-06-30,3.77,$-0.54,0.0
2014-03-31,3.77,$-3.39,0.0
2013-12-31,3.99,$-3.28,0.0
2013-09-30,4.6,$-5.25,0.0
2013-06-30,4.65,$-5.09,0.0
2013-03-31,7.23,$-2.15,0.0
2012-12-31,8.77,$-2.20,0.0
2012-09-30,9.21,$-2.03,0.0
2012-06-30,7.3,$-2.04,0.0
2012-03-31,8.77,$-1.95,0.0
2011-12-31,10.13,$-1.82,0.0
2011-09-30,13.13,$0.82,16.01
2011-06-30,13.99,$1.07,13.07
2011-03-31,13.94,$1.00,13.94
2010-12-31,16.73,$0.94,17.8
2010-09-30,16.58,$1.09,15.21
2010-06-30,15.04,$0.62,24.25
2010-03-31,15.04,$0.50,30.07
2009-12-31,16.14,$0.45,35.87
