I3 Verticals PE Ratio Historical Data,I3 Verticals PE Ratio Historical Data,I3 Verticals PE Ratio Historical Data,I3 Verticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.58,,5.47
2024-12-31,23.04,$4.49,5.13
2024-09-30,21.31,$4.45,4.79
2024-06-30,22.08,$-0.09,0.0
2024-03-31,22.89,$0.01,0.0
2023-12-31,21.17,$-0.07,0.0
2023-09-30,21.14,$-0.12,0.0
2023-06-30,22.86,$-0.38,0.0
2023-03-31,24.53,$-0.33,0.0
2022-12-31,24.34,$-0.66,0.0
2022-09-30,20.03,$-0.76,0.0
2022-06-30,25.02,$-0.66,0.0
2022-03-31,27.86,$-0.64,0.0
2021-12-31,22.79,$-0.31,0.0
2021-09-30,24.21,$-0.33,0.0
2021-06-30,30.22,$-0.34,0.0
2021-03-31,31.13,$-0.21,0.0
2020-12-31,33.2,$-0.16,0.0
2020-09-30,25.25,$-0.04,0.0
2020-06-30,30.25,$-0.05,0.0
2020-03-31,19.09,$-0.15,0.0
2019-12-31,28.25,$-0.32,0.0
2019-09-30,20.12,$-0.29,0.0
2019-06-30,29.45,$-0.13,0.0
2019-03-31,24.02,$-0.02,0.0
