M-tron Industries PE Ratio Historical Data,M-tron Industries PE Ratio Historical Data,M-tron Industries PE Ratio Historical Data,M-tron Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.0,,19.0
2024-09-30,41.69,$2.00,20.85
2024-06-30,35.21,$1.76,20.01
2024-03-31,30.0,$1.60,18.75
2023-12-31,35.7,$1.27,28.11
2023-09-30,17.7,$1.31,13.51
