Arbe Robotics PE Ratio Historical Data,Arbe Robotics PE Ratio Historical Data,Arbe Robotics PE Ratio Historical Data,Arbe Robotics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.3,,0.0
2024-09-30,1.91,$-0.74,0.0
2024-06-30,1.91,$-0.73,0.0
2024-03-31,2.09,$-0.77,0.0
2023-12-31,2.18,$-0.73,0.0
2023-09-30,2.33,$-0.83,0.0
2023-06-30,2.89,$-0.81,0.0
2023-03-31,3.19,$-0.76,0.0
2022-12-31,3.41,$-0.71,0.0
2022-09-30,6.0,$-0.73,0.0
2022-06-30,5.5,$-1.92,0.0
2022-03-31,6.96,$-1.74,0.0
2021-12-31,9.3,$-1.62,0.0
2021-09-30,9.93,$-1.35,0.0
