American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,214.27,,44.55
2024-12-31,183.41,$4.81,38.13
2024-09-30,230.87,$2.37,97.41
2024-06-30,192.96,$5.32,36.27
2024-03-31,192.8,$4.42,43.62
2023-12-31,210.65,$3.18,66.24
2023-09-30,157.61,$1.53,103.01
2023-06-30,185.87,$2.07,89.79
2023-03-31,192.84,$3.00,64.28
2022-12-31,199.94,$3.84,52.07
2022-09-30,199.62,$6.30,31.69
2022-06-30,237.64,$6.08,39.09
2022-03-31,230.9,$5.78,39.95
2021-12-31,268.84,$5.67,47.41
2021-09-30,242.73,$5.50,44.13
2021-06-30,245.88,$4.96,49.57
2021-03-31,215.47,$4.31,49.99
2020-12-31,202.31,$3.79,53.38
2020-09-30,216.68,$4.23,51.22
2020-06-30,230.65,$4.31,53.51
2020-03-31,192.6,$4.27,45.11
2019-12-31,203.27,$4.23,48.06
2019-09-30,194.72,$3.59,54.24
2019-06-30,179.27,$3.30,54.33
2019-03-31,171.27,$3.03,56.52
2018-12-31,137.49,$2.77,49.63
2018-09-30,125.61,$2.66,47.22
2018-06-30,123.95,$2.52,49.19
2018-03-31,123.59,$2.63,46.99
2017-12-31,121.32,$2.67,45.44
2017-09-30,115.66,$2.63,43.98
2017-06-30,111.43,$2.49,44.75
2017-03-31,101.34,$2.06,49.19
2016-12-31,88.12,$1.97,44.73
2016-09-30,93.98,$1.98,47.46
2016-06-30,93.75,$1.61,58.23
2016-03-31,83.66,$1.54,54.32
2015-12-31,79.23,$1.41,56.19
2015-09-30,71.53,$1.35,52.98
2015-06-30,75.46,$1.67,45.19
2015-03-31,75.47,$1.95,38.7
2014-12-31,79.23,$2.01,39.42
2014-09-30,74.76,$1.84,40.63
2014-06-30,71.58,$1.79,39.99
2014-03-31,64.62,$1.46,44.26
2013-12-31,63.0,$1.38,45.65
2013-09-30,58.29,$1.47,39.65
2013-06-30,57.32,$1.60,35.83
2013-03-31,59.85,$1.47,40.71
2012-12-31,60.12,$1.60,37.58
2012-09-30,55.37,$1.77,31.28
2012-06-30,54.05,$1.15,47.0
2012-03-31,48.41,$1.32,36.67
2011-12-31,46.09,$0.99,46.56
2011-09-30,41.08,$0.69,59.53
2011-06-30,39.95,$0.96,41.62
2011-03-31,39.56,$0.92,43.0
2010-12-31,39.43,$0.93,42.39
2010-09-30,39.14,$0.88,44.47
2010-06-30,33.98,$0.82,41.43
2010-03-31,32.53,$0.71,45.82
2009-12-31,32.99,$0.62,53.21
