Saga Communications PE Ratio Historical Data,Saga Communications PE Ratio Historical Data,Saga Communications PE Ratio Historical Data,Saga Communications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.57,,17.46
2024-09-30,14.09,$0.72,19.57
2024-06-30,15.19,$0.97,15.66
2024-03-31,21.22,$1.12,18.94
2023-12-31,20.41,$1.52,13.43
2023-09-30,17.75,$1.85,9.59
2023-06-30,17.66,$1.39,12.71
2023-03-31,18.16,$1.47,12.35
2022-12-31,19.06,$1.52,12.54
2022-09-30,19.4,$1.42,13.66
2022-06-30,16.97,$2.01,8.45
2022-03-31,15.73,$1.92,8.19
2021-12-31,16.26,$1.85,8.79
2021-09-30,14.62,$1.63,8.97
2021-06-30,14.07,$0.89,15.81
2021-03-31,14.1,$-0.47,0.0
2020-12-31,15.5,$-0.32,0.0
2020-09-30,12.83,$-0.06,0.0
2020-06-30,16.52,$0.66,25.03
2020-03-31,17.75,$2.28,7.78
2019-12-31,19.39,$2.23,8.69
2019-09-30,18.79,$2.31,8.13
2019-06-30,19.54,$2.37,8.25
2019-03-31,20.56,$2.27,9.06
2018-12-31,20.4,$2.30,8.87
2018-09-30,21.84,$4.09,5.34
2018-06-30,23.08,$9.13,2.53
2018-03-31,22.16,$9.20,2.41
2017-12-31,23.87,$9.26,2.58
2017-09-30,26.22,$7.59,3.45
2017-06-30,26.13,$2.85,9.17
2017-03-31,28.98,$2.90,9.99
2016-12-31,28.38,$3.10,9.16
2016-09-30,25.31,$2.89,8.76
2016-06-30,21.92,$2.50,8.77
2016-03-31,22.08,$2.45,9.01
2015-12-31,21.06,$2.29,9.2
2015-09-30,18.3,$2.42,7.56
2015-06-30,20.48,$2.45,8.36
2015-03-31,23.87,$2.50,9.55
2014-12-31,23.3,$2.56,9.1
2014-09-30,17.3,$2.36,7.33
2014-06-30,21.9,$2.55,8.59
2014-03-31,25.47,$2.57,9.91
2013-12-31,25.78,$2.66,9.69
2013-09-30,21.98,$3.11,7.07
2013-06-30,22.74,$3.13,7.28
2013-03-31,22.91,$3.19,7.18
2012-12-31,17.27,$3.16,5.46
2012-09-30,14.47,$2.88,5.02
2012-06-30,13.25,$2.77,4.79
2012-03-31,12.78,$2.42,5.28
2011-12-31,13.34,$2.24,5.97
2011-09-30,10.54,$2.32,4.55
2011-06-30,13.21,$2.30,5.76
2011-03-31,12.4,$2.39,5.2
2010-12-31,9.28,$2.68,3.47
2010-09-30,7.25,$0.56,12.88
2010-06-30,8.53,$0.37,23.2
2010-03-31,8.08,$0.19,43.11
2009-12-31,4.48,$-0.47,0.0
