Security National Financial PE Ratio Historical Data,Security National Financial PE Ratio Historical Data,Security National Financial PE Ratio Historical Data,Security National Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.88,,10.49
2024-09-30,9.2,$1.23,7.49
2024-06-30,7.61,$0.91,8.37
2024-03-31,7.53,$0.88,8.6
2023-12-31,8.57,$0.62,13.91
2023-09-30,7.47,$1.37,5.44
2023-06-30,8.05,$1.10,7.31
2023-03-31,5.65,$0.98,5.77
2022-12-31,6.62,$1.05,6.28
2022-09-30,5.76,$0.40,14.42
2022-06-30,7.67,$0.97,7.95
2022-03-31,8.64,$1.29,6.71
2021-12-31,7.95,$1.66,4.79
2021-09-30,7.11,$1.60,4.45
2021-06-30,7.2,$2.38,3.03
2021-03-31,7.69,$2.79,2.76
2020-12-31,6.87,$2.35,2.92
2020-09-30,5.27,$2.27,2.32
2020-06-30,5.41,$1.19,4.57
2020-03-31,3.43,$0.46,7.48
2019-12-31,4.47,$0.48,9.36
2019-09-30,3.75,$0.37,10.0
2019-06-30,3.84,$0.30,12.73
2019-03-31,3.61,$0.29,12.26
2018-12-31,3.76,$0.97,3.88
2018-09-30,3.79,$1.38,2.75
2018-06-30,3.79,$1.34,2.83
2018-03-31,3.75,$1.30,2.88
2017-12-31,3.64,$0.61,5.99
2017-09-30,3.54,$0.31,11.59
2017-06-30,4.42,$0.49,8.94
2017-03-31,4.71,$0.63,7.51
2016-12-31,4.29,$0.64,6.66
2016-09-30,3.87,$0.65,5.92
2016-06-30,3.23,$0.64,5.08
2016-03-31,3.36,$0.57,5.92
2015-12-31,4.12,$0.58,7.14
2015-09-30,4.22,$0.62,6.78
2015-06-30,4.23,$0.50,8.39
