Twin Disc PE Ratio Historical Data,Twin Disc PE Ratio Historical Data,Twin Disc PE Ratio Historical Data,Twin Disc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.13,,12.13
2024-12-31,11.75,$0.67,17.54
2024-09-30,12.45,$0.67,18.58
2024-06-30,11.7,$0.78,15.0
2024-03-31,16.38,$0.87,18.82
2023-12-31,15.97,$0.80,19.96
2023-09-30,13.52,$0.81,16.69
2023-06-30,11.09,$0.75,14.79
2023-03-31,9.39,$0.71,13.23
2022-12-31,9.58,$0.68,14.08
2022-09-30,11.3,$0.31,36.46
2022-06-30,8.93,$0.60,14.88
2022-03-31,16.4,$-0.94,0.0
2021-12-31,10.8,$-1.10,0.0
2021-09-30,10.5,$-1.14,0.0
2021-06-30,14.02,$-1.58,0.0
2021-03-31,9.42,$-0.75,0.0
2020-12-31,7.73,$-2.68,0.0
2020-09-30,4.99,$-2.84,0.0
2020-06-30,5.46,$-3.02,0.0
2020-03-31,6.88,$-2.83,0.0
2019-12-31,10.86,$-0.57,0.0
2019-09-30,10.43,$0.23,45.37
2019-06-30,14.88,$0.95,15.66
2019-03-31,16.41,$1.40,11.72
2018-12-31,14.53,$1.43,10.16
2018-09-30,22.7,$0.76,29.87
2018-06-30,24.46,$0.81,30.19
2018-03-31,21.42,$0.40,53.55
2017-12-31,26.18,$-0.13,0.0
2017-09-30,18.34,$-0.03,0.0
2017-06-30,15.9,$-0.56,0.0
2017-03-31,20.27,$-1.15,0.0
2016-12-31,14.39,$-1.08,0.0
2016-09-30,11.8,$-1.03,0.0
2016-06-30,10.58,$-1.18,0.0
2016-03-31,9.98,$-0.65,0.0
2015-12-31,10.37,$-0.30,0.0
2015-09-30,12.13,$0.24,50.54
2015-06-30,18.11,$0.99,18.29
2015-03-31,17.08,$1.16,14.72
2014-12-31,19.1,$0.87,21.96
2014-09-30,25.84,$0.59,43.8
2014-06-30,31.59,$0.34,92.92
2014-03-31,25.1,$0.13,193.07
2013-12-31,24.57,$0.09,272.99
2013-09-30,24.71,$0.33,74.89
2013-06-30,22.34,$0.33,67.69
2013-03-31,23.54,$0.42,56.06
2012-12-31,16.3,$1.30,12.54
2012-09-30,16.64,$1.52,10.95
2012-06-30,17.11,$2.24,7.64
2012-03-31,24.04,$2.81,8.55
2011-12-31,33.37,$2.40,13.9
2011-09-30,24.46,$2.24,10.92
2011-06-30,35.34,$1.65,21.42
2011-03-31,29.4,$1.17,25.13
2010-12-31,27.18,$0.90,30.2
2010-09-30,12.66,$0.51,24.82
2010-06-30,10.25,$0.05,204.95
2010-03-31,10.97,$0.12,91.4
2009-12-31,9.3,$0.25,37.22
