Origin Materials PE Ratio Historical Data,Origin Materials PE Ratio Historical Data,Origin Materials PE Ratio Historical Data,Origin Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.78,,0.0
2024-12-31,1.28,$-0.50,0.0
2024-09-30,1.54,$-0.57,0.0
2024-06-30,0.9,$-0.09,0.0
2024-03-31,0.51,$-0.00,0.0
2023-12-31,0.84,$0.17,4.92
2023-09-30,1.28,$0.35,3.66
2023-06-30,4.26,$0.19,22.42
2023-03-31,4.27,$0.57,7.49
2022-12-31,4.61,$0.55,8.38
2022-09-30,5.16,$0.48,10.75
2022-06-30,5.12,$0.62,8.26
2022-03-31,6.58,$0.92,7.15
2021-12-31,6.45,$0.87,7.41
2021-09-30,6.81,$0.83,8.2
2021-06-30,8.2,$0.63,13.02
