OGE Energy PE Ratio Historical Data,OGE Energy PE Ratio Historical Data,OGE Energy PE Ratio Historical Data,OGE Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.26,,20.57
2024-12-31,41.25,$2.20,18.75
2024-09-30,40.59,$1.93,21.03
2024-06-30,34.91,$2.04,17.11
2024-03-31,33.13,$1.97,16.82
2023-12-31,33.35,$2.07,16.11
2023-09-30,31.42,$2.08,15.1
2023-06-30,33.46,$2.19,15.28
2023-03-31,34.72,$2.11,16.45
2022-12-31,36.08,$3.31,10.9
2022-09-30,32.86,$4.65,7.07
2022-06-30,34.38,$4.60,7.47
2022-03-31,36.01,$4.80,7.5
2021-12-31,33.52,$3.67,9.13
2021-09-30,28.44,$2.35,12.1
2021-06-30,28.69,$1.98,14.49
2021-03-31,27.25,$1.85,14.73
2020-12-31,26.5,$-0.87,0.0
2020-09-30,24.63,$-0.96,0.0
2020-06-30,24.62,$-0.60,0.0
2020-03-31,24.61,$-0.53,0.0
2019-12-31,35.3,$2.17,16.27
2019-09-30,35.71,$2.26,15.8
2019-06-30,33.21,$2.03,16.36
2019-03-31,33.36,$2.08,16.04
2018-12-31,30.04,$2.11,14.24
2018-09-30,27.57,$3.32,8.3
2018-06-30,26.47,$3.22,8.22
2018-03-31,24.38,$3.19,7.64
2017-12-31,24.24,$3.10,7.82
2017-09-30,26.29,$1.91,13.76
2017-06-30,25.16,$1.91,13.17
2017-03-31,25.08,$1.74,14.42
2016-12-31,23.77,$1.69,14.07
2016-09-30,22.25,$1.55,14.35
2016-06-30,22.85,$1.18,19.36
2016-03-31,19.78,$1.27,15.57
2015-12-31,17.97,$1.36,13.21
2015-09-30,18.52,$1.50,12.35
2015-06-30,19.17,$1.89,10.14
2015-03-31,21.05,$1.95,10.79
2014-12-31,23.46,$1.98,11.85
2014-09-30,24.37,$1.98,12.31
2014-06-30,25.51,$2.12,12.03
2014-03-31,23.85,$2.08,11.46
2013-12-31,21.84,$1.95,11.23
2013-09-30,23.12,$1.85,12.5
2013-06-30,21.71,$1.71,12.73
2013-03-31,22.15,$1.72,12.88
2012-12-31,17.69,$1.80,9.85
2012-09-30,17.3,$1.79,9.69
2012-06-30,16.03,$1.75,9.16
2012-03-31,16.44,$1.80,9.16
2011-12-31,17.31,$1.73,10.0
2011-09-30,14.47,$1.70,8.51
2011-06-30,15.12,$1.63,9.31
2011-03-31,15.08,$1.50,10.09
2010-12-31,13.47,$1.50,9.01
2010-09-30,11.7,$1.52,7.72
2010-06-30,10.62,$1.39,7.64
2010-03-31,11.21,$1.36,8.25
2009-12-31,10.52,$1.33,7.94
