LoanDepot PE Ratio Historical Data,LoanDepot PE Ratio Historical Data,LoanDepot PE Ratio Historical Data,LoanDepot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.41,,0.0
2024-12-31,2.04,$-0.53,0.0
2024-09-30,2.73,$-0.52,0.0
2024-06-30,1.65,$-0.62,0.0
2024-03-31,2.59,$-0.57,0.0
2023-12-31,3.52,$-0.63,0.0
2023-09-30,1.72,$-0.93,0.0
2023-06-30,2.12,$-1.21,0.0
2023-03-31,1.61,$-1.74,0.0
2022-12-31,1.65,$-1.74,0.0
2022-09-30,1.32,$-1.23,0.0
2022-06-30,1.44,$-0.46,0.0
2022-03-31,4.07,$0.27,15.07
2021-12-31,4.71,$0.88,5.35
