Avalo Therapeutics PE Ratio Historical Data,Avalo Therapeutics PE Ratio Historical Data,Avalo Therapeutics PE Ratio Historical Data,Avalo Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.22,,0.0
2024-09-30,9.5,$-157.90,0.0
2024-06-30,12.47,$-181.26,0.0
2024-03-31,21.75,$-307.67,0.0
2023-12-31,9.1,$-369.05,0.0
2023-09-30,28.97,$-616.67,0.0
2023-06-30,85.25,$-509.52,0.0
2023-03-31,420.0,$-697.62,0.0
2022-12-31,1209.62,"$-1,066.90",0.0
2022-09-30,796.8,$-819.28,0.0
2022-06-30,1440.0,"$-1,386.14",0.0
2022-03-31,2087.14,"$-1,572.06",0.0
2021-12-31,4896.0,"$-1,915.05",0.0
2021-09-30,6278.4,"$-1,915.05",0.0
2021-06-30,9417.6,"$-1,915.05",0.0
2021-03-31,8697.6,"$-1,943.64",0.0
2020-12-31,7603.2,"$-2,000.80",0.0
2020-09-30,6552.0,"$-2,000.80",0.0
2020-06-30,7488.0,"$-1,714.97",0.0
2020-03-31,7142.4,"$-1,486.31",0.0
2019-12-31,15523.2,$-886.07,0.0
2019-09-30,9475.2,$-886.07,0.0
2019-06-30,15667.2,"$-2,715.37",0.0
2019-03-31,16819.2,"$-2,944.03",0.0
2018-12-31,9302.4,"$-2,915.45",0.0
2018-09-30,13449.6,"$-3,229.86",0.0
2018-06-30,12499.2,$285.83,43.73
2018-03-31,12355.2,$428.74,28.82
2017-12-31,9216.0,$228.66,40.3
2017-09-30,2448.29,$28.58,85.66
2017-06-30,1650.24,"$-3,458.53",0.0
2017-03-31,1944.29,"$-4,230.26",0.0
2016-12-31,2535.55,"$-5,373.58",0.0
2016-09-30,12182.4,"$-6,373.98",0.0
