Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,212.05,,14.65
2024-12-31,213.22,$14.47,14.74
2024-09-30,198.14,$14.02,14.13
2024-06-30,165.04,$15.01,11.0
2024-03-31,186.09,$14.33,12.99
2023-12-31,165.85,$11.98,13.84
2023-09-30,140.72,$9.83,14.32
2023-06-30,122.6,$6.43,19.07
2023-03-31,116.44,$4.48,25.99
2022-12-31,120.62,$4.95,24.37
2022-09-30,139.35,$5.82,23.94
2022-06-30,165.11,$20.51,8.05
2022-03-31,173.04,$22.88,7.56
2021-12-31,147.73,$22.93,6.44
2021-09-30,148.87,$23.02,6.47
2021-06-30,146.82,$7.61,19.29
2021-03-31,132.73,$7.10,18.69
2020-12-31,126.86,$6.89,18.41
2020-09-30,112.42,$6.64,16.93
2020-06-30,95.23,$6.26,15.21
2020-03-31,95.37,$5.66,16.85
2019-12-31,119.57,$5.75,20.79
2019-09-30,114.22,$4.09,27.93
2019-06-30,96.09,$5.81,16.54
2019-03-31,85.22,$4.69,18.17
2018-12-31,79.82,$4.13,19.33
2018-09-30,95.75,$9.57,10.01
2018-06-30,91.31,$7.76,11.77
2018-03-31,80.19,$8.83,9.08
2017-12-31,87.9,$9.40,9.35
2017-09-30,82.79,$4.18,19.81
2017-06-30,89.39,$7.60,11.76
2017-03-31,82.04,$8.14,10.08
2016-12-31,79.21,$8.95,8.85
2016-09-30,78.21,$9.38,8.34
2016-06-30,72.76,$6.91,10.53
2016-03-31,64.66,$4.68,13.82
2015-12-31,67.04,$2.05,32.7
2015-09-30,65.38,$1.77,36.94
2015-06-30,55.22,$3.79,14.57
2015-03-31,50.39,$5.27,9.56
2014-12-31,55.9,$6.42,8.71
2014-09-30,52.32,$7.19,7.28
2014-06-30,53.12,$6.95,7.64
2014-03-31,52.42,$6.70,7.82
2013-12-31,53.35,$6.30,8.47
2013-09-30,43.15,$5.15,8.38
2013-06-30,40.43,$4.99,8.1
2013-03-31,35.56,$5.23,6.8
2012-12-31,27.28,$5.58,4.89
2012-09-30,29.14,$7.00,4.16
2012-06-30,27.05,$6.27,4.31
2012-03-31,31.25,$6.01,5.2
2011-12-31,31.55,$5.59,5.64
2011-09-30,27.37,$2.12,12.91
2011-06-30,27.58,$2.63,10.49
2011-03-31,29.15,$2.41,12.09
2010-12-31,29.04,$2.36,12.3
2010-09-30,30.54,$4.20,7.27
2010-06-30,25.93,$4.12,6.29
2010-03-31,25.57,$4.29,5.96
2009-12-31,21.82,$3.63,6.01
