Golden Entertainment PE Ratio Historical Data,Golden Entertainment PE Ratio Historical Data,Golden Entertainment PE Ratio Historical Data,Golden Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.04,,16.79
2024-12-31,31.6,$1.67,18.92
2024-09-30,31.79,$1.24,25.64
2024-06-30,30.87,$8.89,3.47
2024-03-31,36.24,$9.27,3.91
2023-12-31,39.01,$8.28,4.71
2023-09-30,33.39,$8.96,3.73
2023-06-30,38.83,$1.58,24.58
2023-03-31,40.42,$1.85,21.85
2022-12-31,34.74,$2.59,13.41
2022-09-30,32.41,$2.83,11.45
2022-06-30,36.74,$3.29,11.17
2022-03-31,53.95,$5.88,9.17
2021-12-31,46.94,$5.11,9.19
2021-09-30,45.6,$3.86,11.81
2021-06-30,41.62,$2.70,15.41
2021-03-31,23.47,$-3.36,0.0
2020-12-31,18.48,$-4.88,0.0
2020-09-30,12.85,$-4.50,0.0
2020-06-30,8.29,$-4.59,0.0
2020-03-31,6.14,$-2.31,0.0
2019-12-31,17.85,$-1.43,0.0
2019-09-30,12.35,$-2.05,0.0
2019-06-30,13.01,$-1.82,0.0
2019-03-31,13.15,$-1.18,0.0
2018-12-31,14.88,$-0.76,0.0
2018-09-30,22.3,$-0.39,0.0
2018-06-30,25.07,$0.08,313.41
2018-03-31,21.58,$0.03,719.33
2017-12-31,30.33,$0.13,233.31
2017-09-30,22.65,$1.10,20.59
2017-06-30,19.24,$0.80,24.05
2017-03-31,12.29,$0.85,14.46
2016-12-31,11.25,$0.72,15.62
2016-09-30,11.58,$1.34,8.65
2016-06-30,10.86,$1.44,7.54
