CLEAR Secure PE Ratio Historical Data,CLEAR Secure PE Ratio Historical Data,CLEAR Secure PE Ratio Historical Data,CLEAR Secure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.62,,17.29
2024-12-31,26.64,$1.54,17.3
2024-09-30,33.14,$0.86,38.53
2024-06-30,18.71,$0.78,23.99
2024-03-31,21.27,$0.56,37.98
2023-12-31,20.65,$0.30,68.83
2023-09-30,19.04,$0.02,952.0
2023-06-30,23.17,$-0.59,0.0
2023-03-31,26.17,$-0.72,0.0
2022-12-31,27.43,$-0.79,0.0
2022-09-30,22.86,$-0.88,0.0
2022-06-30,20.0,$-0.67,0.0
2022-03-31,26.88,$-0.61,0.0
