Inuvo PE Ratio Historical Data,Inuvo PE Ratio Historical Data,Inuvo PE Ratio Historical Data,Inuvo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.65,$-0.04,0.0
2024-09-30,0.25,$-0.06,0.0
2024-06-30,0.26,$-0.06,0.0
2024-03-31,0.34,$-0.08,0.0
2023-12-31,0.43,$-0.09,0.0
2023-09-30,0.21,$-0.10,0.0
2023-06-30,0.22,$-0.12,0.0
2023-03-31,0.29,$-0.12,0.0
2022-12-31,0.22,$-0.11,0.0
2022-09-30,0.41,$-0.09,0.0
2022-06-30,0.5,$-0.08,0.0
2022-03-31,0.49,$-0.07,0.0
2021-12-31,0.53,$-0.07,0.0
2021-09-30,0.7,$-0.07,0.0
2021-06-30,0.97,$-0.08,0.0
2021-03-31,1.02,$-0.08,0.0
2020-12-31,0.45,$-0.11,0.0
2020-09-30,0.37,$-0.12,0.0
2020-06-30,0.53,$-0.07,0.0
2020-03-31,0.24,$-0.11,0.0
2019-12-31,0.3,$-0.14,0.0
2019-09-30,0.27,$-0.12,0.0
2019-06-30,0.42,$-0.18,0.0
2019-03-31,1.24,$-0.15,0.0
2018-12-31,1.07,$-0.12,0.0
2018-09-30,0.62,$-0.08,0.0
2018-06-30,0.77,$-0.07,0.0
2018-03-31,0.92,$-0.09,0.0
2017-12-31,0.81,$-0.10,0.0
2017-09-30,1.0,$-0.15,0.0
2017-06-30,1.02,$-0.13,0.0
2017-03-31,1.29,$-0.10,0.0
2016-12-31,1.67,$-0.02,0.0
2016-09-30,1.27,$0.02,63.5
2016-06-30,1.4,$0.06,23.33
2016-03-31,1.77,$0.10,17.7
2015-12-31,2.7,$0.11,24.55
2015-09-30,2.9,$0.11,26.36
2015-06-30,3.06,$0.10,30.6
2015-03-31,2.08,$0.10,20.81
2014-12-31,1.3,$0.10,13.0
2014-09-30,1.5,$0.06,25.0
2014-06-30,0.89,$0.07,12.71
2014-03-31,0.76,$0.07,10.86
2013-12-31,1.31,$0.03,43.67
2013-09-30,1.19,$-0.00,0.0
2013-06-30,0.8,$-0.09,0.0
2013-03-31,0.65,$-0.24,0.0
2012-12-31,0.93,$-0.36,0.0
2012-09-30,0.73,$-0.76,0.0
2012-06-30,0.68,$-0.84,0.0
2012-03-31,0.77,$-0.92,0.0
2011-12-31,0.71,$-0.95,0.0
2011-09-30,1.02,$-0.59,0.0
2011-06-30,2.1,$-0.65,0.0
2011-03-31,2.87,$-0.54,0.0
2010-12-31,5.12,$-0.48,0.0
2010-09-30,2.99,$-0.70,0.0
2010-06-30,1.7,$-0.80,0.0
2010-03-31,2.9,$-0.80,0.0
2009-12-31,3.4,$-0.80,0.0
