Construction Partners PE Ratio Historical Data,Construction Partners PE Ratio Historical Data,Construction Partners PE Ratio Historical Data,Construction Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.16,,71.18
2024-12-31,88.46,$1.07,82.67
2024-09-30,69.8,$1.32,52.88
2024-06-30,55.21,$1.35,40.9
2024-03-31,56.15,$1.17,47.99
2023-12-31,43.52,$1.08,40.3
2023-09-30,36.56,$0.93,39.31
2023-06-30,31.39,$0.59,53.2
2023-03-31,26.94,$0.41,65.71
2022-12-31,26.69,$0.34,78.5
2022-09-30,26.23,$0.41,63.98
2022-06-30,20.94,$0.31,67.55
2022-03-31,26.18,$0.26,100.69
2021-12-31,29.41,$0.34,86.5
2021-09-30,33.37,$0.38,87.82
2021-06-30,31.4,$0.57,55.09
2021-03-31,29.88,$0.69,43.3
2020-12-31,29.11,$0.82,35.5
2020-09-30,18.2,$0.78,23.33
2020-06-30,17.76,$0.76,23.37
2020-03-31,16.89,$0.79,21.38
2019-12-31,16.87,$0.84,20.08
2019-09-30,15.58,$0.83,18.77
2019-06-30,15.02,$0.80,18.78
2019-03-31,12.77,$0.76,16.8
