Relmada Therapeutics PE Ratio Historical Data,Relmada Therapeutics PE Ratio Historical Data,Relmada Therapeutics PE Ratio Historical Data,Relmada Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.3,,0.0
2024-09-30,3.24,$-2.87,0.0
2024-06-30,3.0,$-2.88,0.0
2024-03-31,4.65,$-3.13,0.0
2023-12-31,4.14,$-3.28,0.0
2023-09-30,3.0,$-3.70,0.0
2023-06-30,2.46,$-4.28,0.0
2023-03-31,2.26,$-4.77,0.0
2022-12-31,3.49,$-5.30,0.0
2022-09-30,37.02,$-5.84,0.0
2022-06-30,18.99,$-6.97,0.0
2022-03-31,26.99,$-7.20,0.0
2021-12-31,22.53,$-7.14,0.0
2021-09-30,26.21,$-6.62,0.0
2021-06-30,32.01,$-5.23,0.0
2021-03-31,35.21,$-4.40,0.0
2020-12-31,32.07,$-3.78,0.0
2020-09-30,37.62,$-2.50,0.0
