Ooma PE Ratio Historical Data,Ooma PE Ratio Historical Data,Ooma PE Ratio Historical Data,Ooma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.62,,0.0
2024-10-31,11.96,$-0.37,0.0
2024-07-31,10.4,$-0.19,0.0
2024-04-30,7.06,$-0.10,0.0
2024-01-31,10.82,$-0.03,0.0
2023-10-31,10.91,$0.07,155.86
2023-07-31,15.0,$-0.13,0.0
2023-04-30,12.3,$-0.13,0.0
2023-01-31,14.37,$-0.15,0.0
2022-10-31,16.23,$-0.13,0.0
2022-07-31,11.93,$-0.03,0.0
2022-04-30,12.84,$-0.06,0.0
2022-01-31,18.04,$-0.07,0.0
2021-10-31,23.1,$-0.10,0.0
2021-07-31,18.55,$-0.11,0.0
2021-04-30,16.53,$-0.11,0.0
2021-01-31,13.47,$-0.12,0.0
2020-10-31,14.11,$-0.20,0.0
2020-07-31,15.14,$-0.50,0.0
2020-04-30,11.66,$-0.72,0.0
2020-01-31,13.13,$-0.90,0.0
2019-10-31,11.35,$-0.96,0.0
2019-07-31,13.03,$-0.82,0.0
2019-04-30,13.49,$-0.78,0.0
2019-01-31,15.11,$-0.74,0.0
2018-10-31,15.04,$-0.72,0.0
2018-07-31,16.1,$-0.71,0.0
2018-04-30,10.65,$-0.71,0.0
2018-01-31,10.25,$-0.71,0.0
2017-10-31,10.5,$-0.72,0.0
2017-07-31,8.3,$-0.71,0.0
2017-04-30,11.95,$-0.70,0.0
2017-01-31,9.65,$-0.74,0.0
2016-10-31,8.65,$-0.77,0.0
2016-07-31,8.5,$-0.82,0.0
2016-04-30,7.06,$-1.43,0.0
