DarioHealth PE Ratio Historical Data,DarioHealth PE Ratio Historical Data,DarioHealth PE Ratio Historical Data,DarioHealth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.71,,0.0
2024-12-31,0.79,$-0.53,0.0
2024-09-30,1.12,$-0.94,0.0
2024-06-30,1.19,$-1.18,0.0
2024-03-31,1.53,$-1.68,0.0
2023-12-31,1.72,$-1.03,0.0
2023-09-30,3.28,$-1.13,0.0
2023-06-30,4.01,$-1.28,0.0
2023-03-31,4.12,$-1.44,0.0
2022-12-31,4.28,$-2.63,0.0
2022-09-30,4.63,$-3.21,0.0
2022-06-30,6.14,$-3.75,0.0
2022-03-31,5.84,$-4.00,0.0
2021-12-31,12.97,$-4.18,0.0
2021-09-30,13.65,$-4.15,0.0
2021-06-30,21.36,$-3.68,0.0
2021-03-31,19.26,$-3.37,0.0
2020-12-31,14.29,$-4.02,0.0
2020-09-30,16.78,$-2.96,0.0
2020-06-30,6.35,$-3.45,0.0
2020-03-31,6.79,$-5.37,0.0
2019-12-31,6.56,$-6.80,0.0
2019-09-30,6.08,$-9.00,0.0
2019-06-30,9.3,$-11.20,0.0
2019-03-31,14.74,$-15.00,0.0
2018-12-31,15.52,$-16.00,0.0
2018-09-30,19.4,$-38.40,0.0
2018-06-30,25.6,$-41.00,0.0
2018-03-31,30.8,$-43.20,0.0
2017-12-31,32.04,$-30.20,0.0
2017-09-30,36.8,$-24.80,0.0
2017-06-30,43.6,$-25.00,0.0
2017-03-31,60.2,$-26.20,0.0
2016-12-31,65.0,$-41.80,0.0
