Ligand Pharmaceuticals PE Ratio Historical Data,Ligand Pharmaceuticals PE Ratio Historical Data,Ligand Pharmaceuticals PE Ratio Historical Data,Ligand Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,109.41,,0.0
2024-12-31,107.15,$-0.16,0.0
2024-09-30,100.09,$2.51,39.88
2024-06-30,84.26,$2.16,39.01
2024-03-31,73.1,$5.17,14.14
2023-12-31,71.42,$2.75,25.97
2023-09-30,59.92,$0.68,88.12
2023-06-30,72.1,$1.44,50.07
2023-03-31,73.56,$1.26,58.38
2022-12-31,66.8,$-1.98,0.0
2022-09-30,86.11,$-1.24,0.0
2022-06-30,89.22,$-0.46,0.0
2022-03-31,112.49,$1.38,81.51
2021-12-31,154.46,$3.34,46.25
2021-09-30,139.32,$3.99,34.92
2021-06-30,131.19,$2.77,47.36
2021-03-31,152.45,$2.30,66.28
2020-12-31,99.45,$-0.21,0.0
2020-09-30,95.32,$-0.99,0.0
2020-06-30,111.85,$-1.38,0.0
2020-03-31,72.72,$-3.44,0.0
2019-12-31,104.29,$29.34,3.55
2019-09-30,99.54,$27.75,3.59
2019-06-30,114.15,$31.36,3.64
2019-03-31,125.71,$35.09,3.58
2018-12-31,135.7,$5.60,24.23
2018-09-30,274.49,$7.29,37.65
2018-06-30,207.17,$4.85,42.72
2018-03-31,165.16,$2.12,77.91
2017-12-31,136.93,$0.51,268.49
2017-09-30,136.15,$0.69,197.32
2017-06-30,121.4,$0.36,337.22
2017-03-31,105.84,$-0.18,0.0
2016-12-31,101.61,$-0.10,0.0
2016-09-30,102.06,$0.34,300.18
2016-06-30,119.27,$10.77,11.07
2016-03-31,107.09,$12.16,8.81
2015-12-31,108.42,$11.90,9.11
2015-09-30,85.65,$11.95,7.17
2015-06-30,100.9,$1.55,65.1
2015-03-31,77.11,$0.51,151.2
2014-12-31,53.21,$0.57,93.35
2014-09-30,46.99,$0.32,146.84
2014-06-30,62.29,$0.35,177.97
2014-03-31,67.27,$0.58,115.98
2013-12-31,52.6,$0.55,95.64
2013-09-30,43.28,$0.51,84.86
2013-06-30,37.4,$0.41,91.22
2013-03-31,26.65,$0.00,0.0
2012-12-31,20.74,$0.00,0.0
2012-09-30,17.15,$0.19,90.26
2012-06-30,16.94,$-0.00,0.0
2012-03-31,15.95,$0.06,265.83
2011-12-31,11.87,$0.47,25.26
2011-09-30,13.68,$0.35,39.09
2011-06-30,11.95,$-3.05,0.0
2011-03-31,10.0,$-3.00,0.0
2010-12-31,8.92,$-3.60,0.0
2010-09-30,9.48,$-3.54,0.0
2010-06-30,8.76,$0.18,48.67
2010-03-31,10.44,$0.12,87.0
2009-12-31,13.02,$0.06,217.0
