LiqTech PE Ratio Historical Data,LiqTech PE Ratio Historical Data,LiqTech PE Ratio Historical Data,LiqTech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.48,,0.0
2024-09-30,2.56,$-1.82,0.0
2024-06-30,2.36,$-1.58,0.0
2024-03-31,3.09,$-1.49,0.0
2023-12-31,3.41,$-1.48,0.0
2023-09-30,3.89,$-1.16,0.0
2023-06-30,3.21,$-1.23,0.0
2023-03-31,3.76,$-2.56,0.0
2022-12-31,3.04,$-3.60,0.0
2022-09-30,3.05,$-4.40,0.0
2022-06-30,3.6,$-5.12,0.0
2022-03-31,19.6,$-4.64,0.0
2021-12-31,45.76,$-4.08,0.0
2021-09-30,43.84,$-4.40,0.0
2021-06-30,58.56,$-4.80,0.0
2021-03-31,64.72,$-4.64,0.0
2020-12-31,64.0,$-3.68,0.0
2020-09-30,67.6,$-2.64,0.0
2020-06-30,43.68,$-0.96,0.0
2020-03-31,34.32,$0.08,429.0
2019-12-31,46.8,0,0.0
2019-09-30,63.2,$-0.32,0.0
2019-06-30,79.28,$-0.88,0.0
2019-03-31,68.8,$-0.96,0.0
2018-12-31,43.84,$-1.92,0.0
2018-09-30,53.12,$-1.92,0.0
2018-06-30,23.83,$-2.56,0.0
2018-03-31,15.85,$-3.52,0.0
2017-12-31,18.18,$-3.20,0.0
2017-09-30,11.84,$-12.80,0.0
2017-06-30,10.24,$-12.48,0.0
2017-03-31,12.48,$-11.84,0.0
2016-12-31,20.48,$-14.40,0.0
2016-09-30,26.56,$-4.16,0.0
2016-06-30,19.2,$-2.88,0.0
2016-03-31,23.05,$-4.16,0.0
2015-12-31,32.25,$-1.92,0.0
2015-09-30,31.04,$-3.84,0.0
2015-06-30,26.38,$-4.16,0.0
2015-03-31,21.48,$-3.52,0.0
2014-12-31,34.88,$-3.52,0.0
2014-09-30,49.28,$-3.84,0.0
2014-06-30,63.36,$-5.44,0.0
2014-03-31,60.8,$-6.08,0.0
2013-12-31,72.0,$-6.08,0.0
2013-09-30,84.8,$-7.04,0.0
2013-06-30,93.76,$-6.40,0.0
2013-03-31,76.8,$-5.44,0.0
2012-12-31,44.16,$-4.16,0.0
