Natural Grocers By Vitamin Cottage PE Ratio Historical Data,Natural Grocers By Vitamin Cottage PE Ratio Historical Data,Natural Grocers By Vitamin Cottage PE Ratio Historical Data,Natural Grocers By Vitamin Cottage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.69,,24.01
2024-12-31,39.72,$1.57,25.3
2024-09-30,29.61,$1.48,20.01
2024-06-30,21.06,$1.35,15.6
2024-03-31,17.93,$1.26,14.23
2023-12-31,15.8,$1.17,13.51
2023-09-30,11.97,$1.02,11.74
2023-06-30,11.28,$0.85,13.27
2023-03-31,10.72,$0.71,15.1
2022-12-31,8.26,$0.73,11.32
2022-09-30,9.66,$0.93,10.39
2022-06-30,14.18,$1.16,12.23
2022-03-31,17.33,$1.21,14.32
2021-12-31,12.53,$1.14,10.99
2021-09-30,9.79,$0.91,10.76
2021-06-30,9.32,$0.75,12.42
2021-03-31,15.13,$0.74,20.45
2020-12-31,11.79,$0.96,12.28
2020-09-30,7.45,$0.88,8.46
2020-06-30,11.17,$0.78,14.32
2020-03-31,6.36,$0.66,9.63
2019-12-31,7.3,$0.40,18.25
2019-09-30,7.33,$0.42,17.46
2019-06-30,7.38,$0.45,16.4
2019-03-31,8.77,$0.45,19.5
2018-12-31,11.25,$0.43,26.17
2018-09-30,12.4,$0.56,22.14
2018-06-30,9.35,$0.53,17.65
2018-03-31,5.26,$0.47,11.18
2017-12-31,6.56,$0.45,14.57
2017-09-30,4.1,$0.31,13.22
2017-06-30,6.07,$0.32,18.97
2017-03-31,7.63,$0.41,18.6
2016-12-31,8.73,$0.44,19.84
2016-09-30,8.19,$0.52,15.76
2016-06-30,9.58,$0.58,16.52
2016-03-31,15.62,$0.65,24.02
2015-12-31,14.96,$0.73,20.49
2015-09-30,16.66,$0.72,23.14
2015-06-30,18.08,$0.73,24.76
2015-03-31,20.27,$0.69,29.38
2014-12-31,20.68,$0.63,32.83
2014-09-30,11.95,$0.60,19.92
2014-06-30,15.72,$0.56,28.07
2014-03-31,32.05,$0.54,59.36
2013-12-31,31.17,$0.50,62.33
2013-09-30,29.15,$0.47,62.01
2013-06-30,22.76,$0.41,55.51
