Sumitomo Mitsui Financial Group Inc PE Ratio Historical Data,Sumitomo Mitsui Financial Group Inc PE Ratio Historical Data,Sumitomo Mitsui Financial Group Inc PE Ratio Historical Data,Sumitomo Mitsui Financial Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.26,,17.87
2024-12-31,14.49,$0.91,15.92
2024-06-30,13.16,$1.18,11.15
2023-06-30,8.17,$0.94,8.7
2022-06-30,5.33,$0.95,5.61
2021-06-30,5.98,$0.97,6.17
2020-06-30,4.63,$1.01,4.58
2019-06-30,5.48,$1.15,4.76
2018-06-30,5.78,$1.19,4.85
2017-06-30,5.63,$0.98,5.74
2016-06-30,3.95,$0.92,4.29
2015-06-30,5.9,$0.98,6.02
2015-03-31,5.14,$0.99,5.19
2014-12-31,4.83,$1.09,4.43
2014-09-30,5.44,$1.12,4.86
2014-06-30,5.62,$1.12,5.02
2014-03-31,5.74,$1.22,4.71
2013-12-31,6.96,$1.47,4.74
2013-09-30,6.46,$1.55,4.17
2013-06-30,6.0,$1.63,3.68
2013-03-31,5.31,$1.42,3.74
2012-12-31,4.69,$1.18,3.98
2012-09-30,3.95,$1.10,3.59
2012-06-30,4.17,$0.89,4.68
2012-03-31,4.17,$2.45,1.7
2011-12-31,3.39,$2.18,1.56
2011-09-30,3.37,$1.90,1.77
2011-06-30,3.63,$2.05,1.77
2011-03-31,3.69,$0.61,6.05
2010-12-31,4.12,$0.68,6.07
2010-09-30,3.31,$0.95,3.48
2010-06-30,3.23,$0.70,4.61
2010-03-31,3.75,$0.36,10.4
2009-12-31,3.28,$0.36,9.12
