Dragonfly Energy Holdings PE Ratio Historical Data,Dragonfly Energy Holdings PE Ratio Historical Data,Dragonfly Energy Holdings PE Ratio Historical Data,Dragonfly Energy Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.31,,0.0
2024-09-30,0.53,$-4.05,0.0
2024-06-30,0.85,$-4.59,0.0
2024-03-31,0.54,$-4.86,0.0
2023-12-31,0.54,$-2.43,0.0
2023-09-30,1.54,$-5.31,0.0
