ADP PE Ratio Historical Data,ADP PE Ratio Historical Data,ADP PE Ratio Historical Data,ADP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,297.51,,31.02
2024-12-31,292.73,$9.59,30.52
2024-09-30,275.3,$9.37,29.38
2024-06-30,236.27,$9.11,25.93
2024-03-31,245.79,$8.96,27.43
2023-12-31,227.97,$8.59,26.54
2023-09-30,234.0,$8.41,27.82
2023-06-30,212.71,$8.20,25.94
2023-03-31,214.22,$7.83,27.36
2022-12-31,228.53,$7.53,30.35
2022-09-30,215.37,$7.23,29.79
2022-06-30,199.14,$7.01,28.41
2022-03-31,214.69,$6.77,31.71
2021-12-31,231.51,$6.46,35.84
2021-09-30,186.87,$6.32,29.57
2021-06-30,184.81,$6.07,30.45
2021-03-31,174.55,$5.77,30.25
2020-12-31,162.35,$5.77,28.14
2020-09-30,127.84,$5.76,22.19
2020-06-30,135.52,$5.70,23.78
2020-03-31,123.62,$5.83,21.2
2019-12-31,153.14,$5.66,27.06
2019-09-30,144.2,$5.43,26.56
2019-06-30,146.96,$5.24,28.05
2019-03-31,141.32,$4.40,32.12
2018-12-31,115.39,$4.12,28.01
2018-09-30,131.83,$3.90,33.8
2018-06-30,116.83,$3.65,32.01
2018-03-31,98.33,$3.99,24.64
2017-12-31,101.0,$3.85,26.23
2017-09-30,93.71,$3.93,23.84
2017-06-30,87.37,$3.84,22.75
2017-03-31,86.82,$3.87,22.43
2016-12-31,86.68,$3.73,23.24
2016-09-30,73.95,$3.34,22.14
2016-06-30,76.57,$3.25,23.56
2016-03-31,74.32,$3.35,22.19
2015-12-31,69.76,$3.21,21.73
2015-09-30,65.71,$3.16,20.79
2015-06-30,65.24,$3.05,21.39
2015-03-31,69.23,$2.93,23.63
2014-12-31,67.01,$2.98,22.49
2014-09-30,58.37,$3.07,19.01
2014-06-30,55.38,$3.14,17.64
2014-03-31,53.64,$3.01,17.82
2013-12-31,55.75,$2.92,19.09
2013-09-30,49.64,$2.94,16.88
2013-06-30,46.95,$2.89,16.24
2013-03-31,44.05,$2.95,14.93
2012-12-31,38.3,$2.88,13.3
2012-09-30,39.16,$2.84,13.79
2012-06-30,36.91,$2.82,13.09
2012-03-31,36.32,$2.77,13.11
2011-12-31,35.29,$2.70,13.07
2011-09-30,30.58,$2.56,11.94
2011-06-30,33.91,$2.51,13.51
2011-03-31,32.81,$2.45,13.39
2010-12-31,29.38,$2.40,12.24
2010-09-30,26.48,$2.40,11.03
2010-06-30,25.15,$2.40,10.48
2010-03-31,27.55,$2.68,10.28
2009-12-31,26.32,$2.68,9.82
