Winnebago Industries PE Ratio Historical Data,Winnebago Industries PE Ratio Historical Data,Winnebago Industries PE Ratio Historical Data,Winnebago Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.84,,0.0
2024-11-30,58.54,$-0.66,0.0
2024-08-31,59.29,$0.30,197.65
2024-05-31,61.34,$2.59,23.69
2024-02-29,70.6,$3.34,21.14
2023-11-30,63.32,$5.29,11.97
2023-08-31,63.22,$6.24,10.13
2023-05-31,54.03,$7.57,7.14
2023-02-28,61.44,$9.43,6.51
2022-11-30,56.38,$10.60,5.32
2022-08-31,55.15,$11.77,4.69
2022-05-31,47.19,$11.61,4.07
2022-02-28,60.95,$10.09,6.04
2021-11-30,68.53,$9.44,7.26
2021-08-31,65.89,$8.24,8.0
2021-05-31,69.88,$7.04,9.93
2021-02-28,65.65,$4.62,14.21
2020-11-30,49.84,$3.09,16.13
2020-08-31,50.71,$1.83,27.71
2020-05-31,51.02,$1.59,32.09
2020-02-29,48.51,$3.10,15.65
2019-11-30,44.35,$3.27,13.56
2019-08-31,29.78,$3.53,8.44
2019-05-31,29.81,$3.46,8.61
2019-02-28,30.15,$3.34,9.03
2018-11-30,23.13,$3.35,6.9
2018-08-31,34.06,$3.22,10.58
2018-05-31,33.33,$3.07,10.86
2018-02-28,39.93,$2.66,15.01
2017-11-30,50.11,$2.45,20.45
2017-08-31,33.02,$2.30,14.35
2017-05-31,22.31,$2.00,11.16
2017-02-28,29.94,$1.92,15.59
2016-11-30,29.34,$1.79,16.39
2016-08-31,21.69,$1.69,12.83
2016-05-31,20.2,$1.63,12.4
2016-02-29,16.72,$1.53,10.93
2015-11-30,19.98,$1.48,13.5
2015-08-31,18.1,$1.53,11.83
2015-05-31,19.13,$1.58,12.1
2015-02-28,20.34,$1.57,12.96
2014-11-30,21.97,$1.62,13.56
2014-08-31,21.49,$1.65,13.02
2014-05-31,21.51,$1.55,13.88
2014-02-28,23.17,$1.40,16.55
2013-11-30,26.9,$1.27,21.18
2013-08-31,19.35,$1.13,17.12
2013-05-31,18.04,$2.16,8.35
2013-02-28,16.84,$2.02,8.34
2012-11-30,12.36,$1.77,6.98
2012-08-31,9.99,$1.55,6.45
2012-05-31,7.79,$0.26,29.95
2012-02-29,7.75,$0.17,45.59
2011-11-30,5.6,$0.31,18.05
2011-08-31,6.82,$0.40,17.05
2011-05-31,9.95,$0.45,22.11
2011-02-28,12.56,$0.62,20.27
2010-11-30,9.11,$0.53,17.18
2010-08-31,7.46,$0.35,21.3
2010-05-31,10.54,$-1.55,0.0
2010-02-28,10.15,$-2.05,0.0
2009-11-30,9.43,$-2.43,0.0
