Galecto PE Ratio Historical Data,Galecto PE Ratio Historical Data,Galecto PE Ratio Historical Data,Galecto PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.14,,0.0
2024-12-31,4.65,$-13.39,0.0
2024-09-30,12.15,$-19.14,0.0
2024-06-30,0.47,$-23.25,0.0
2024-03-31,0.78,$-28.50,0.0
2023-12-31,0.72,$-36.25,0.0
2023-09-30,0.72,$-44.25,0.0
2023-06-30,2.52,$-50.25,0.0
2023-03-31,1.99,$-56.75,0.0
2022-12-31,1.15,$-60.75,0.0
2022-09-30,1.89,$-60.25,0.0
2022-06-30,1.73,$-59.25,0.0
2022-03-31,2.2,$-54.75,0.0
2021-12-31,3.03,$-51.25,0.0
2021-09-30,3.59,$-38.00,0.0
