Poseida Therapeutics PE Ratio Historical Data,Poseida Therapeutics PE Ratio Historical Data,Poseida Therapeutics PE Ratio Historical Data,Poseida Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,9.45,,0.0
2024-09-30,2.86,$-0.63,0.0
2024-06-30,2.92,$-1.19,0.0
2024-03-31,3.19,$-1.19,0.0
2023-12-31,3.36,$-1.39,0.0
2023-09-30,2.38,$-1.51,0.0
2023-06-30,1.76,$-0.24,0.0
2023-03-31,3.08,$-0.61,0.0
2022-12-31,5.3,$-1.09,0.0
2022-09-30,3.53,$-0.68,0.0
2022-06-30,2.58,$-2.28,0.0
2022-03-31,4.48,$-2.33,0.0
2021-12-31,6.81,$-2.02,0.0
2021-09-30,7.29,$-2.62,0.0
2021-06-30,10.02,$-2.57,0.0
