Cara Therapeutics PE Ratio Historical Data,Cara Therapeutics PE Ratio Historical Data,Cara Therapeutics PE Ratio Historical Data,Cara Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.15,,0.0
2024-12-31,6.12,$-13.93,0.0
2024-09-30,0.31,$-21.01,0.0
2024-06-30,0.26,$-24.49,0.0
2024-03-31,0.91,$-27.01,0.0
2023-12-31,0.74,$-26.17,0.0
2023-09-30,1.68,$-25.81,0.0
2023-06-30,2.83,$-24.73,0.0
2023-03-31,4.91,$-18.73,0.0
2022-12-31,10.74,$-19.09,0.0
2022-09-30,9.36,$-19.93,0.0
2022-06-30,9.13,$-15.01,0.0
2022-03-31,12.15,$-21.37,0.0
2021-12-31,12.18,$-20.77,0.0
2021-09-30,15.45,$5.88,2.63
2021-06-30,14.27,$1.92,7.43
2021-03-31,21.71,$2.76,7.86
2020-12-31,15.13,$0.96,15.76
2020-09-30,12.73,$-25.45,0.0
2020-06-30,17.1,$-30.13,0.0
2020-03-31,13.21,$-30.61,0.0
2019-12-31,16.11,$-29.89,0.0
2019-09-30,18.28,$-28.81,0.0
2019-06-30,21.5,$-26.05,0.0
2019-03-31,19.62,$-25.33,0.0
2018-12-31,13.0,$-24.73,0.0
2018-09-30,23.95,$-23.65,0.0
2018-06-30,19.15,$-22.09,0.0
2018-03-31,12.38,$-19.33,0.0
2017-12-31,12.24,$-22.93,0.0
2017-09-30,13.69,$-27.49,0.0
2017-06-30,15.39,$-27.97,0.0
2017-03-31,18.39,$-30.25,0.0
2016-12-31,9.29,$-25.21,0.0
2016-09-30,8.35,$-19.69,0.0
2016-06-30,4.81,$-16.93,0.0
2016-03-31,6.22,$-14.17,0.0
2015-12-31,16.86,$-12.00,0.0
2015-09-30,14.29,$-9.96,0.0
2015-06-30,12.15,$-11.16,0.0
2015-03-31,10.05,$-10.08,0.0
2014-12-31,9.97,$-10.20,0.0
