E.W Scripps PE Ratio Historical Data,E.W Scripps PE Ratio Historical Data,E.W Scripps PE Ratio Historical Data,E.W Scripps PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.02,,43.14
2024-12-31,2.21,$0.07,31.57
2024-09-30,2.25,$-3.10,0.0
2024-06-30,3.14,$-3.66,0.0
2024-03-31,3.93,$-11.61,0.0
2023-12-31,7.99,$-11.83,0.0
2023-09-30,5.48,$-7.82,0.0
2023-06-30,9.15,$-7.25,0.0
2023-03-31,9.41,$1.17,8.04
2022-12-31,13.19,$1.64,8.04
2022-09-30,11.27,$1.23,9.16
2022-06-30,12.47,$1.35,9.24
2022-03-31,20.79,$0.94,22.12
2021-12-31,19.35,$0.77,25.13
2021-09-30,18.06,$3.23,5.59
2021-06-30,20.39,$3.42,5.96
2021-03-31,19.27,$3.24,5.95
2020-12-31,15.29,$3.16,4.84
2020-09-30,11.4,$0.40,28.5
2020-06-30,8.68,$-0.56,0.0
2020-03-31,7.44,$-0.30,0.0
2019-12-31,15.42,$-0.23,0.0
2019-09-30,12.99,$-0.09,0.0
2019-06-30,14.9,$0.41,36.35
2019-03-31,20.4,$0.48,42.5
2018-12-31,15.25,$0.23,66.29
2018-09-30,15.95,$0.05,318.91
2018-06-30,12.9,$-0.50,0.0
2018-03-31,11.51,$-0.46,0.0
2017-12-31,14.95,$-0.15,0.0
2017-09-30,18.28,$0.22,83.08
2017-06-30,17.03,$0.69,24.69
2017-03-31,22.42,$0.73,30.71
2016-12-31,18.49,$0.81,22.82
2016-09-30,15.21,$0.10,152.07
2016-06-30,15.15,$-0.34,0.0
2016-03-31,14.91,$-0.85,0.0
2015-12-31,18.17,$-1.00,0.0
2015-09-30,16.9,$-0.48,0.0
2015-06-30,21.85,$-0.21,0.0
2015-03-31,27.2,$0.10,272.01
2014-12-31,21.38,$0.18,118.76
2014-09-30,15.6,$0.05,311.98
2014-06-30,20.24,$-0.09,0.0
2014-03-31,16.95,$0.02,847.39
2013-12-31,20.77,$-0.02,0.0
2013-09-30,17.55,$0.31,56.61
2013-06-30,14.9,$0.68,21.91
2013-03-31,11.51,$0.73,15.76
2012-12-31,10.34,$0.70,14.77
2012-09-30,10.19,$0.34,29.96
2012-06-30,9.19,$-0.06,0.0
2012-03-31,9.44,$-0.20,0.0
2011-12-31,7.66,$-0.27,0.0
2011-09-30,6.69,$0.02,334.75
2011-06-30,9.25,$0.31,29.83
2011-03-31,9.47,$1.91,4.96
2010-12-31,9.71,$2.04,4.76
2010-09-30,7.54,$1.83,4.12
2010-06-30,7.11,$1.67,4.26
2010-03-31,8.08,$0.15,53.88
2009-12-31,6.66,$-3.95,0.0
