Performance Shipping PE Ratio Historical Data,Performance Shipping PE Ratio Historical Data,Performance Shipping PE Ratio Historical Data,Performance Shipping PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.56,,1.04
2024-09-30,1.88,$1.50,1.25
2024-06-30,2.16,$1.45,1.49
2024-03-31,1.89,$1.65,1.15
2023-12-31,2.27,$1.91,1.19
2023-09-30,1.97,$2.46,0.8
2023-06-30,0.79,$3.69,0.21
2023-03-31,0.77,$4.73,0.16
2022-12-31,3.54,$-47.25,0.0
2022-09-30,4.08,$-54.57,0.0
2022-06-30,8.27,$-62.52,0.0
2022-03-31,45.0,$-71.96,0.0
2021-12-31,55.65,$-29.09,0.0
2021-09-30,81.0,$-30.58,0.0
2021-06-30,82.5,$-22.94,0.0
2021-03-31,83.55,$-1.50,0.0
2020-12-31,9.0,$16.04,0.56
2020-09-30,88.48,$-24.29,0.0
2020-06-30,88.48,$-109.45,0.0
2020-03-31,88.48,$-131.93,0.0
2019-12-31,124.05,$-142.43,0.0
2019-09-30,136.15,$-98.95,0.0
2019-06-30,143.16,$-106.45,0.0
2019-03-31,175.57,$-871.06,0.0
2018-12-31,95.9,$-970.01,0.0
2018-09-30,187.38,"$-2,496.25",0.0
2018-06-30,233.11,"$-21,695.66",0.0
2018-03-31,221.31,"$2,262,756.96",0.0
2017-12-31,599.01,"$1,522,569.61",0.0
2017-09-30,641.15,"$672,769.44",0.0
2017-06-30,113894.18,"$-12,114,919.70",0.0
2017-03-31,394727.91,"$-15,212,915.30",0.0
2016-12-31,844110.45,"$-15,064,857.70",0.0
2016-09-30,998965.25,"$-15,101,872.00",0.0
2016-06-30,1074874.46,"$-3,183,237.20",0.0
2016-03-31,1403557.69,"$-2,294,891.83",0.0
2015-12-31,1929052.17,"$-1,776,690.40",0.0
2015-09-30,2990030.87,"$-888,345.20",0.0
2015-06-30,5069148.59,"$148,057.50",34.24
2015-03-31,5924040.64,"$222,086.23",26.67
2014-12-31,4522828.68,"$296,115.00",15.27
2014-09-30,5406614.06,"$-888,345.00",0.0
2014-06-30,6073833.97,"$-1,036,402.50",0.0
2013-12-31,9722935.81,"$-444,172.20",0.0
2013-06-30,9513843.91,"$148,058.00",64.26
2012-12-31,12204113.01,"$1,776,690.60",6.87
2012-06-30,13611167.51,"$2,665,035.80",5.11
2012-03-31,10711858.21,"$1,480,575.40",7.23
2011-12-31,9398910.71,"$1,184,460.30",7.94
