Superior Industries PE Ratio Historical Data,Superior Industries PE Ratio Historical Data,Superior Industries PE Ratio Historical Data,Superior Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.49,,0.0
2024-12-31,2.04,$-4.26,0.0
2024-09-30,3.04,$-3.95,0.0
2024-06-30,3.25,$-6.13,0.0
2024-03-31,2.9,$-5.73,0.0
2023-12-31,3.2,$-4.70,0.0
2023-09-30,3.04,$-4.01,0.0
2023-06-30,3.6,$-0.94,0.0
2023-03-31,4.95,$-0.52,0.0
2022-12-31,4.22,$0.01,422.0
2022-09-30,3.02,$-0.72,0.0
2022-06-30,3.95,$-0.98,0.0
2022-03-31,4.66,$-1.31,0.0
2021-12-31,4.48,$-1.17,0.0
2021-09-30,7.05,$-1.85,0.0
2021-06-30,8.62,$-1.12,0.0
2021-03-31,5.68,$-2.86,0.0
2020-12-31,4.09,$-10.88,0.0
2020-09-30,1.25,$-13.97,0.0
2020-06-30,1.7,$-14.66,0.0
2020-03-31,1.2,$-12.70,0.0
2019-12-31,3.69,$-5.10,0.0
2019-09-30,2.89,$-0.24,0.0
2019-06-30,3.37,$-0.04,0.0
2019-03-31,4.57,$0.09,50.79
2018-12-31,4.54,$0.40,11.34
2018-09-30,15.99,$-0.71,0.0
2018-06-30,16.7,$-0.56,0.0
2018-03-31,12.33,$-1.06,0.0
2017-12-31,13.69,$-1.01,0.0
2017-09-30,15.26,$-0.20,0.0
2017-06-30,18.84,$0.25,75.36
2017-03-31,23.14,$1.18,19.61
2016-12-31,23.72,$1.62,14.64
2016-09-30,26.09,$1.62,16.1
2016-06-30,23.96,$1.58,15.16
2016-03-31,19.62,$1.30,15.09
2015-12-31,16.24,$0.90,18.04
2015-09-30,16.16,$0.64,25.24
2015-06-30,15.68,$0.36,43.56
2015-03-31,16.21,$0.30,54.04
2014-12-31,16.79,$0.32,52.46
2014-09-30,14.58,$0.50,29.17
2014-06-30,17.01,$0.78,21.8
2014-03-31,16.75,$0.83,20.19
2013-12-31,16.87,$0.83,20.32
2013-09-30,14.45,$0.70,20.65
2013-06-30,13.81,$1.06,13.03
2013-03-31,14.99,$1.06,14.14
2012-12-31,16.37,$1.13,14.49
2012-09-30,13.27,$2.51,5.29
2012-06-30,12.59,$2.12,5.94
2012-03-31,14.77,$2.42,6.1
2011-12-31,12.39,$2.46,5.03
2011-09-30,11.57,$1.80,6.43
2011-06-30,16.38,$2.03,8.07
2011-03-31,18.74,$1.88,9.97
2010-12-31,15.51,$1.92,8.08
2010-09-30,12.53,$0.95,13.19
2010-06-30,9.66,$0.08,120.75
2010-03-31,11.32,$-1.09,0.0
2009-12-31,10.77,$-3.54,0.0
