Big 5 Sporting Goods PE Ratio Historical Data,Big 5 Sporting Goods PE Ratio Historical Data,Big 5 Sporting Goods PE Ratio Historical Data,Big 5 Sporting Goods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.97,,0.0
2024-12-31,1.79,$-3.15,0.0
2024-09-30,2.09,$-2.61,0.0
2024-06-30,2.96,$-1.17,0.0
2024-03-31,3.47,$-0.72,0.0
2023-12-31,6.17,$-0.33,0.0
2023-09-30,6.69,$0.16,41.79
2023-06-30,8.47,$0.37,22.89
2023-03-31,6.88,$0.79,8.71
2022-12-31,7.68,$1.19,6.45
2022-09-30,9.15,$2.00,4.58
2022-06-30,9.36,$2.78,3.37
2022-03-31,14.05,$4.00,3.51
2021-12-31,15.34,$4.55,3.37
2021-09-30,17.8,$4.61,3.86
2021-06-30,19.66,$4.85,4.05
2021-03-31,11.54,$3.74,3.09
2020-12-31,7.43,$2.56,2.9
2020-09-30,5.39,$1.63,3.31
2020-06-30,1.37,$0.62,2.22
2020-03-31,0.76,$0.10,7.58
2019-12-31,2.08,$0.40,5.2
2019-09-30,1.41,$0.14,10.11
2019-06-30,1.29,$-0.01,0.0
2019-03-31,2.06,$-0.02,0.0
2018-12-31,1.65,$-0.16,0.0
2018-09-30,3.26,$-0.54,0.0
2018-06-30,4.73,$-0.41,0.0
2018-03-31,4.43,$-0.27,0.0
2017-12-31,4.53,$0.03,151.01
2017-09-30,4.47,$1.00,4.47
2017-06-30,7.48,$1.10,6.8
2017-03-31,8.56,$1.07,8.0
2016-12-31,9.74,$0.78,12.49
2016-09-30,7.59,$0.63,12.05
2016-06-30,5.11,$0.53,9.65
2016-03-31,6.04,$0.55,10.99
2015-12-31,5.38,$0.71,7.57
2015-09-30,5.53,$0.64,8.64
2015-06-30,7.5,$0.70,10.72
2015-03-31,6.96,$0.69,10.09
2014-12-31,7.61,$0.68,11.2
2014-09-30,4.84,$0.78,6.21
2014-06-30,6.28,$0.85,7.39
2014-03-31,8.14,$1.02,7.98
2013-12-31,9.99,$1.26,7.93
2013-09-30,8.07,$1.22,6.61
2013-06-30,10.94,$1.19,9.19
2013-03-31,7.74,$1.03,7.51
2012-12-31,6.45,$0.70,9.22
2012-09-30,4.9,$0.51,9.61
2012-06-30,3.67,$0.40,9.18
2012-03-31,3.76,$0.42,8.96
2011-12-31,4.96,$0.54,9.19
2011-09-30,2.86,$0.72,3.98
2011-06-30,3.67,$0.76,4.82
2011-03-31,5.52,$0.84,6.57
2010-12-31,7.02,$0.94,7.47
2010-09-30,6.15,$1.05,5.86
2010-06-30,6.0,$1.11,5.4
2010-03-31,6.92,$1.11,6.24
2009-12-31,7.79,$1.01,7.71
