BXP PE Ratio Historical Data,BXP PE Ratio Historical Data,BXP PE Ratio Historical Data,BXP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.47,,684.7
2024-12-31,74.36,$0.10,743.6
2024-09-30,80.46,$2.31,34.83
2024-06-30,60.82,$1.07,56.84
2024-03-31,63.51,$1.22,52.06
2023-12-31,67.2,$1.21,55.53
2023-09-30,56.19,$1.23,45.69
2023-06-30,53.52,$4.23,12.65
2023-03-31,49.45,$4.99,9.91
2022-12-31,60.63,$5.40,11.23
2022-09-30,66.3,$5.80,11.43
2022-06-30,77.67,$4.20,18.49
2022-03-31,111.22,$3.49,31.87
2021-12-31,98.72,$3.17,31.14
2021-09-30,92.09,$2.04,45.14
2021-06-30,96.54,$1.93,50.02
2021-03-31,84.58,$2.93,28.87
2020-12-31,78.21,$5.54,14.12
2020-09-30,65.75,$6.40,10.27
2020-06-30,73.12,$6.52,11.21
2020-03-31,73.81,$5.87,12.57
2019-12-31,109.17,$3.30,33.08
2019-09-30,101.94,$3.35,30.43
2019-06-30,100.69,$3.42,29.44
2019-03-31,103.73,$3.19,32.52
2018-12-31,86.59,$3.70,23.4
2018-09-30,93.9,$3.41,27.54
2018-06-30,94.93,$3.40,27.92
2018-03-31,92.67,$3.44,26.94
2017-12-31,97.16,$2.93,33.16
2017-09-30,91.25,$3.20,28.52
2017-06-30,90.8,$2.94,30.89
2017-03-31,97.14,$2.70,35.98
2016-12-31,91.75,$3.25,28.23
2016-09-30,98.82,$3.21,30.78
2016-06-30,95.19,$3.91,24.34
2016-03-31,91.25,$3.80,24.01
2015-12-31,91.11,$3.73,24.43
2015-09-30,83.36,$3.97,21.0
2015-06-30,84.74,$3.60,23.54
2015-03-31,97.83,$3.58,27.33
2014-12-31,89.21,$2.82,31.63
2014-09-30,77.2,$2.26,34.16
2014-06-30,78.38,$2.43,32.25
2014-03-31,75.54,$4.87,15.51
2013-12-31,65.82,$4.83,13.63
2013-09-30,68.13,$4.68,14.56
2013-06-30,66.82,$4.06,16.46
2013-03-31,63.62,$1.91,33.31
2012-12-31,66.19,$2.03,32.6
2012-09-30,68.77,$2.29,30.03
2012-06-30,67.04,$2.39,28.05
2012-03-31,64.61,$2.01,32.14
2011-12-31,60.97,$1.87,32.6
2011-09-30,54.24,$1.09,49.76
2011-06-30,64.27,$1.02,63.01
2011-03-31,57.15,$1.05,54.43
2010-12-31,51.6,$1.14,45.26
2010-09-30,49.53,$1.61,30.76
2010-06-30,42.26,$1.67,25.31
2010-03-31,44.39,$1.76,25.22
2009-12-31,39.21,$1.75,22.41
