Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.15,,47.43
2024-12-31,33.62,$0.72,46.69
2024-09-30,29.63,$-0.07,0.0
2024-06-30,28.44,$0.13,218.74
2024-03-31,28.83,$0.63,45.76
2023-12-31,28.38,$0.75,37.83
2023-09-30,26.43,$0.75,35.25
2023-06-30,35.15,$0.88,39.95
2023-03-31,31.43,$1.00,31.43
2022-12-31,32.18,$0.80,40.23
2022-09-30,29.48,$1.28,23.03
2022-06-30,34.52,$1.57,21.99
2022-03-31,43.77,$0.94,46.57
2021-12-31,40.94,$1.60,25.59
2021-09-30,49.15,$-0.05,0.0
2021-06-30,50.74,$-2.74,0.0
2021-03-31,58.36,$-4.94,0.0
2020-12-31,44.55,$-5.31,0.0
2020-09-30,35.84,$-2.79,0.0
2020-06-30,32.67,$0.40,81.67
2020-03-31,34.03,$3.40,10.01
2019-12-31,51.39,$4.28,12.01
2019-09-30,51.25,$4.47,11.46
2019-06-30,48.01,$4.32,11.11
2019-03-31,48.9,$4.22,11.59
2018-12-31,43.78,$4.31,10.16
2018-09-30,58.83,$6.32,9.31
2018-06-30,47.8,$6.08,7.86
2018-03-31,53.65,$6.04,8.88
2017-12-31,61.17,$5.82,10.51
2017-09-30,52.21,$3.48,15.0
2017-06-30,57.82,$3.26,17.74
2017-03-31,49.92,$3.31,15.08
2016-12-31,46.2,$3.53,13.09
2016-09-30,35.97,$3.51,10.25
2016-06-30,36.17,$3.77,9.59
2016-03-31,41.23,$3.39,12.16
2015-12-31,39.56,$3.26,12.13
2015-09-30,34.89,$2.72,12.83
2015-06-30,30.29,$2.32,13.06
2015-03-31,40.47,$2.09,19.37
2014-12-31,38.61,$1.65,23.4
2014-09-30,30.77,$1.67,18.42
2014-06-30,24.42,$1.56,15.66
2014-03-31,21.42,$1.20,17.85
2013-12-31,17.06,$1.06,16.1
2013-09-30,13.16,$0.87,15.12
2013-06-30,11.62,$0.52,22.34
2013-03-31,12.11,$0.51,23.75
2012-12-31,9.19,$0.56,16.42
2012-09-30,7.87,$0.65,12.1
2012-06-30,8.26,$0.45,18.36
2012-03-31,7.37,$0.36,20.48
2011-12-31,7.66,$0.24,31.9
2011-09-30,7.19,$0.22,32.67
2011-06-30,10.2,$0.67,15.23
2011-03-31,11.28,$0.61,18.49
2010-12-31,11.59,$0.61,19.0
2010-09-30,11.66,$0.59,19.77
2010-06-30,9.91,$0.30,33.03
2010-03-31,11.79,$0.22,53.58
2009-12-31,10.19,$0.09,113.2
