Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,88.43,,144.97
2024-12-31,105.11,$0.61,172.31
2024-09-30,118.07,$0.36,327.98
2024-06-30,88.51,$0.78,113.48
2024-03-31,78.64,$0.66,119.15
2023-12-31,68.04,$0.63,108.01
2023-09-30,57.26,$0.95,60.27
2023-06-30,54.18,$1.30,41.67
2023-03-31,49.9,$1.98,25.2
2022-12-31,46.47,$1.90,24.46
2022-09-30,40.53,$1.69,23.98
2022-06-30,44.38,$1.26,35.22
2022-03-31,49.85,$1.53,32.58
2021-12-31,46.48,$1.55,29.99
2021-09-30,38.1,$2.20,17.32
2021-06-30,36.61,$2.10,17.44
2021-03-31,31.59,$1.13,27.96
2020-12-31,24.75,$1.19,20.8
2020-09-30,22.03,$0.46,47.89
2020-06-30,21.01,$0.70,30.02
2020-03-31,18.74,$1.04,18.02
2019-12-31,24.57,$0.92,26.71
2019-09-30,24.5,$1.34,18.28
2019-06-30,23.24,$1.20,19.36
2019-03-31,25.83,$1.21,21.34
2018-12-31,23.2,$1.27,18.27
2018-09-30,24.28,$0.80,30.35
2018-06-30,24.23,$0.66,36.71
2018-03-31,22.35,$0.63,35.48
2017-12-31,25.22,$0.69,36.55
2017-09-30,25.6,$0.80,32.01
2017-06-30,22.3,$0.74,30.14
2017-03-31,22.79,$0.38,59.96
2016-12-31,20.42,$0.46,44.39
2016-09-30,23.21,$0.30,77.36
2016-06-30,24.32,$0.38,64.01
2016-03-31,20.44,$0.69,29.62
2015-12-31,16.02,$0.58,27.62
2015-09-30,18.09,$0.61,29.65
2015-06-30,17.77,$0.50,35.55
2015-03-31,20.61,$1.65,12.49
2014-12-31,21.56,$1.68,12.83
2014-09-30,18.21,$1.87,9.74
2014-06-30,19.77,$1.89,10.46
2014-03-31,15.37,$0.63,24.4
2013-12-31,16.93,$0.51,33.19
2013-09-30,14.94,$0.40,37.34
2013-06-30,14.57,$0.69,21.12
2013-03-31,19.68,$0.77,25.56
2012-12-31,16.71,$0.99,16.88
2012-09-30,16.24,$1.03,15.77
2012-06-30,15.57,$0.91,17.11
2012-03-31,13.5,$1.93,6.99
2011-12-31,14.31,$1.98,7.23
2011-09-30,14.57,$1.96,7.43
2011-06-30,15.59,$1.01,15.44
2011-03-31,14.17,$-0.03,0.0
2010-12-31,11.28,$-0.28,0.0
2010-09-30,10.0,$-0.14,0.0
2010-06-30,10.03,$0.83,12.08
2010-03-31,12.2,$1.06,11.51
2009-12-31,10.11,$1.08,9.36
