Intevac PE Ratio Historical Data,Intevac PE Ratio Historical Data,Intevac PE Ratio Historical Data,Intevac PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.04,,0.0
2024-12-31,3.4,$-0.26,0.0
2024-09-30,3.4,$-0.33,0.0
2024-06-30,3.86,$-0.31,0.0
2024-03-31,3.84,$-0.38,0.0
2023-12-31,4.32,$-0.47,0.0
2023-09-30,3.11,$-0.52,0.0
2023-06-30,3.75,$-0.59,0.0
2023-03-31,7.33,$-0.51,0.0
2022-12-31,6.47,$-0.68,0.0
2022-09-30,4.65,$1.21,3.84
2022-06-30,4.84,$1.17,4.14
2022-03-31,5.35,$1.03,5.19
2021-12-31,4.71,$1.08,4.36
2021-09-30,4.78,$-0.64,0.0
2021-06-30,6.74,$-0.49,0.0
2021-03-31,7.15,$-0.18,0.0
2020-12-31,7.21,$0.04,180.25
2020-09-30,5.51,$0.21,26.24
2020-06-30,5.46,$0.21,26.0
2020-03-31,4.09,$0.10,40.9
2019-12-31,7.06,$0.05,141.2
2019-09-30,5.24,$0.27,19.41
2019-06-30,4.84,$0.24,20.17
2019-03-31,6.13,$0.28,21.89
2018-12-31,5.23,$0.15,34.87
2018-09-30,5.2,$-0.29,0.0
2018-06-30,4.85,$-0.19,0.0
2018-03-31,6.9,$-0.13,0.0
2017-12-31,6.85,$0.18,38.06
2017-09-30,8.45,$0.31,27.26
2017-06-30,11.1,$0.24,46.25
2017-03-31,12.5,$0.02,625.0
2016-12-31,8.55,$-0.37,0.0
2016-09-30,5.9,$-0.62,0.0
2016-06-30,5.68,$-0.77,0.0
2016-03-31,4.5,$-0.60,0.0
2015-12-31,4.71,$-0.41,0.0
2015-09-30,4.6,$-0.91,0.0
2015-06-30,5.85,$-0.89,0.0
2015-03-31,6.14,$-1.10,0.0
2014-12-31,7.77,$-1.17,0.0
2014-09-30,6.67,$-0.48,0.0
2014-06-30,8.01,$-0.44,0.0
2014-03-31,9.7,$-0.50,0.0
2013-12-31,7.43,$-0.66,0.0
2013-09-30,5.86,$-2.55,0.0
2013-06-30,5.66,$-2.78,0.0
2013-03-31,4.72,$-2.57,0.0
2012-12-31,4.57,$-2.36,0.0
2012-09-30,6.11,$-0.81,0.0
2012-06-30,7.52,$-0.74,0.0
2012-03-31,8.5,$-0.79,0.0
2011-12-31,7.4,$-0.96,0.0
2011-09-30,6.99,$-0.64,0.0
2011-06-30,10.21,$0.21,48.62
2011-03-31,12.41,$0.86,14.43
2010-12-31,14.01,$1.23,11.39
2010-09-30,10.01,$1.27,7.88
2010-06-30,10.67,$0.61,17.49
2010-03-31,13.82,$-0.13,0.0
2009-12-31,11.47,$-0.45,0.0
