Pathfinder Bancorp PE Ratio Historical Data,Pathfinder Bancorp PE Ratio Historical Data,Pathfinder Bancorp PE Ratio Historical Data,Pathfinder Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.65,,52.03
2024-09-30,15.75,$0.32,49.21
2024-06-30,13.03,$1.42,9.18
2024-03-31,12.13,$1.42,8.54
2023-12-31,13.64,$1.51,9.03
2023-09-30,13.34,$1.68,7.94
2023-06-30,13.55,$1.85,7.33
2023-03-31,16.51,$2.07,7.97
2022-12-31,18.21,$2.13,8.55
2022-09-30,19.26,$2.19,8.8
2022-06-30,18.79,$2.23,8.42
2022-03-31,20.63,$2.19,9.42
2021-12-31,16.05,$2.06,7.79
2021-09-30,15.08,$1.75,8.61
2021-06-30,14.8,$1.44,10.28
2021-03-31,13.51,$1.25,10.81
2020-12-31,10.54,$1.18,8.93
2020-09-30,9.4,$1.17,8.04
2020-06-30,8.66,$1.14,7.59
2020-03-31,9.65,$0.94,10.26
2019-12-31,12.48,$0.77,16.21
2019-09-30,12.0,$0.71,16.91
2019-06-30,12.95,$0.72,17.98
2019-03-31,11.56,$0.83,13.93
2018-12-31,13.81,$0.95,14.54
2018-09-30,13.22,$0.78,16.95
2018-06-30,13.98,$0.77,18.15
2018-03-31,13.47,$0.77,17.5
2017-12-31,13.38,$0.72,18.58
2017-09-30,13.24,$0.86,15.4
2017-06-30,13.54,$0.84,16.12
2017-03-31,12.55,$0.82,15.31
2016-12-31,11.55,$0.78,14.81
2016-09-30,10.37,$0.73,14.21
2016-06-30,9.57,$0.73,13.11
2016-03-31,9.32,$0.69,13.5
2015-12-31,10.87,$0.66,16.47
2015-09-30,9.31,$0.67,13.89
2015-06-30,9.84,$0.64,15.37
2015-03-31,8.31,$0.63,13.16
2014-12-31,8.15,$0.63,12.99
2014-09-30,12.43,$0.66,18.91
2014-06-30,12.06,$0.69,17.55
2014-03-31,12.06,$0.87,13.94
2013-12-31,11.22,$0.87,12.88
2013-09-30,10.74,$0.80,13.37
2013-06-30,10.88,$0.74,14.77
2013-03-31,10.69,$0.56,19.21
2012-12-31,8.48,$0.53,15.93
2012-09-30,8.75,$0.44,19.81
2012-06-30,7.37,$0.37,19.66
2012-03-31,7.96,$0.34,23.4
2011-12-31,7.25,$0.32,22.95
2011-09-30,6.95,$0.39,17.6
2011-06-30,7.17,$0.46,15.53
2011-03-31,8.18,$0.45,18.2
2010-12-31,6.82,$0.50,13.7
2010-09-30,6.4,$0.45,14.24
2010-06-30,4.77,$0.45,10.62
2010-03-31,6.22,$0.35,17.67
2009-12-31,4.42,$0.37,11.93
