Dana PE Ratio Historical Data,Dana PE Ratio Historical Data,Dana PE Ratio Historical Data,Dana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.47,,0.0
2024-12-31,11.56,$-0.39,0.0
2024-09-30,10.44,$-0.11,0.0
2024-06-30,11.86,$-0.01,0.0
2024-03-31,12.34,$0.09,137.13
2023-12-31,14.09,$0.26,54.17
2023-09-30,14.02,$-0.72,0.0
2023-06-30,16.16,$-1.46,0.0
2023-03-31,14.2,$-1.61,0.0
2022-12-31,14.19,$-1.68,0.0
2022-09-30,10.65,$-0.25,0.0
2022-06-30,13.04,$0.69,18.89
2022-03-31,16.17,$0.99,16.34
2021-12-31,20.89,$1.35,15.47
2021-09-30,20.27,$1.44,14.07
2021-06-30,21.56,$1.42,15.19
2021-03-31,22.0,$-0.14,0.0
2020-12-31,17.57,$-0.36,0.0
2020-09-30,11.09,$-0.05,0.0
2020-06-30,10.97,$0.41,26.77
2020-03-31,7.03,$1.14,6.17
2019-12-31,16.27,$1.56,10.43
2019-09-30,12.84,$1.67,7.69
2019-06-30,17.73,$1.55,11.44
2019-03-31,15.67,$2.87,5.46
2018-12-31,11.98,$2.92,4.1
2018-09-30,16.3,$1.49,10.94
2018-06-30,17.54,$1.30,13.49
2018-03-31,22.29,$0.92,24.23
2017-12-31,27.59,$0.70,39.42
2017-09-30,24.06,$4.78,5.03
2017-06-30,19.16,$4.71,4.07
2017-03-31,16.53,$4.60,3.59
2016-12-31,16.19,$4.39,3.69
2016-09-30,13.25,$0.51,25.98
2016-06-30,8.94,$0.87,10.27
2016-03-31,11.87,$0.87,13.64
2015-12-31,11.57,$0.95,12.18
2015-09-30,13.26,$2.13,6.23
2015-06-30,17.13,$1.90,9.02
2015-03-31,17.57,$2.02,8.7
2014-12-31,18.0,$1.83,9.84
2014-09-30,15.84,$1.42,11.15
2014-06-30,20.13,$-0.26,0.0
2014-03-31,19.14,$-0.30,0.0
2013-12-31,16.1,$-0.30,0.0
2013-09-30,18.69,$-0.12,0.0
2013-06-30,15.73,$1.30,12.1
2013-03-31,14.52,$1.26,11.52
2012-12-31,12.68,$1.40,9.05
2012-09-30,9.95,$1.32,7.54
2012-06-30,10.33,$1.57,6.58
2012-03-31,12.45,$1.49,8.35
2011-12-31,9.73,$0.90,10.81
2011-09-30,8.41,$0.41,20.5
2011-06-30,14.65,$0.12,122.07
2011-03-31,13.92,$-0.20,0.0
2010-12-31,13.78,$-0.22,0.0
2010-09-30,9.86,$-1.81,0.0
2010-06-30,8.0,$-2.48,0.0
2010-03-31,9.51,$-2.56,0.0
2009-12-31,8.68,$-3.92,0.0
