Century Therapeutics PE Ratio Historical Data,Century Therapeutics PE Ratio Historical Data,Century Therapeutics PE Ratio Historical Data,Century Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.55,,0.0
2024-12-31,1.01,$-1.20,0.0
2024-09-30,1.71,$-1.85,0.0
2024-06-30,2.55,$-2.03,0.0
2024-03-31,4.18,$-2.21,0.0
2023-12-31,3.32,$-2.29,0.0
2023-09-30,2.0,$-2.19,0.0
2023-06-30,3.16,$-2.17,0.0
2023-03-31,3.47,$-2.15,0.0
2022-12-31,5.13,$-2.28,0.0
2022-09-30,9.89,$-1.97,0.0
2022-06-30,8.4,$-1.92,0.0
2022-03-31,12.59,$-3.31,0.0
