Danaos PE Ratio Historical Data,Danaos PE Ratio Historical Data,Danaos PE Ratio Historical Data,Danaos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,83.67,,3.23
2024-12-31,80.07,$25.91,3.09
2024-09-30,85.84,$28.91,2.97
2024-06-30,90.53,$29.37,3.08
2024-03-31,70.16,$29.46,2.38
2023-12-31,71.18,$28.96,2.46
2023-09-30,62.92,$28.80,2.18
2023-06-30,62.76,$25.33,2.48
2023-03-31,50.68,$18.41,2.75
2022-12-31,48.26,$27.23,1.77
2022-09-30,50.35,$27.74,1.82
2022-06-30,56.48,$35.00,1.61
2022-03-31,90.99,$52.70,1.73
2021-12-31,65.72,$51.17,1.28
2021-09-30,71.61,$45.19,1.58
2021-06-30,66.67,$36.37,1.83
2021-03-31,42.72,$19.82,2.16
2020-12-31,18.45,$6.52,2.83
2020-09-30,6.32,$6.24,1.01
2020-06-30,3.21,$6.71,0.48
2020-03-31,3.44,$7.13,0.48
2019-12-31,7.9,$8.15,0.97
2019-09-30,7.75,$-5.83,0.0
2019-06-30,6.97,$2.76,2.52
2019-03-31,10.66,$1.49,7.16
2018-12-31,9.04,$1.26,7.18
2018-09-30,14.47,$16.39,0.88
2018-06-30,22.91,$8.40,2.73
2018-03-31,15.07,$10.22,1.47
2017-12-31,17.48,$10.64,1.64
2017-09-30,16.88,$-49.30,0.0
2017-06-30,20.49,$-53.22,0.0
2017-03-31,21.1,$-50.00,0.0
2016-12-31,31.95,$-46.78,0.0
2016-09-30,32.31,$11.06,2.92
2016-06-30,32.79,$17.51,1.87
2016-03-31,45.81,$16.67,2.75
2015-12-31,72.21,$14.99,4.82
2015-09-30,73.42,$7.56,9.71
2015-06-30,77.76,$5.04,15.42
2015-03-31,78.48,$2.24,35.02
2014-12-31,65.94,$-0.56,0.0
2014-09-30,61.96,$5.46,11.34
2014-06-30,70.89,$3.78,18.75
2014-03-31,90.41,$4.20,21.52
2013-12-31,59.07,$4.76,12.4
2013-09-30,47.86,$-9.52,0.0
2013-06-30,52.56,$-11.48,0.0
2013-03-31,50.63,$-12.89,0.0
2012-12-31,33.15,$-13.31,0.0
2012-09-30,38.46,$2.66,14.45
2012-06-30,50.03,$3.36,14.88
2012-03-31,47.5,$2.24,21.2
2011-12-31,40.39,$1.68,24.03
2011-09-30,40.02,$-0.56,0.0
2011-06-30,66.3,$-0.28,0.0
2011-03-31,81.74,$-4.06,0.0
2010-12-31,45.09,$-30.67,0.0
2010-09-30,53.41,$-33.75,0.0
2010-06-30,45.93,$-29.69,0.0
2010-03-31,50.87,$-21.85,0.0
2009-12-31,53.77,$9.24,5.82
