American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,141.81,,26.31
2024-12-31,124.49,$5.39,23.1
2024-09-30,145.4,$5.05,28.79
2024-06-30,127.73,$4.91,26.01
2024-03-31,120.17,$4.93,24.37
2023-12-31,129.04,$4.89,26.39
2023-09-30,120.36,$4.82,24.97
2023-06-30,138.06,$4.79,28.82
2023-03-31,141.0,$4.55,30.99
2022-12-31,146.1,$4.51,32.39
2022-09-30,124.17,$7.25,17.13
2022-06-30,141.33,$7.15,19.77
2022-03-31,156.55,$7.09,22.08
2021-12-31,177.92,$6.95,25.6
2021-09-30,158.69,$4.20,37.78
2021-06-30,144.2,$4.13,34.91
2021-03-31,139.72,$3.96,35.28
2020-12-31,142.55,$3.91,36.46
2020-09-30,134.12,$3.65,36.75
2020-06-30,118.65,$3.52,33.71
2020-03-31,109.75,$3.49,31.45
2019-12-31,112.35,$3.43,32.76
2019-09-30,113.13,$3.51,32.23
2019-06-30,105.19,$3.22,32.67
2019-03-31,94.11,$3.19,29.5
2018-12-31,81.55,$3.16,25.81
2018-09-30,78.63,$2.53,31.08
2018-06-30,75.92,$2.62,28.98
2018-03-31,72.64,$2.44,29.77
2017-12-31,80.49,$2.37,33.96
2017-09-30,70.85,$2.95,24.02
2017-06-30,67.92,$2.65,25.63
2017-03-31,67.4,$2.69,25.06
2016-12-31,62.39,$2.63,23.72
2016-09-30,64.19,$2.61,24.59
2016-06-30,72.14,$2.74,26.33
2016-03-31,58.54,$2.65,22.09
2015-12-31,50.48,$2.63,19.19
2015-09-30,46.26,$2.60,17.79
2015-06-30,40.58,$2.49,16.3
2015-03-31,44.95,$2.42,18.57
2014-12-31,43.95,$2.36,18.62
2014-09-30,39.53,$2.17,18.22
2014-06-30,40.27,$2.16,18.64
2014-03-31,36.72,$2.12,17.32
2013-12-31,33.96,$2.06,16.49
2013-09-30,32.96,$2.04,16.15
2013-06-30,32.69,$2.06,15.87
2013-03-31,32.64,$2.09,15.62
2012-12-31,29.25,$2.01,14.55
2012-09-30,28.8,$2.07,13.91
2012-06-30,26.45,$1.99,13.29
2012-03-31,26.08,$1.87,13.95
2011-12-31,24.25,$1.90,12.76
2011-09-30,22.8,$1.76,12.96
2011-06-30,22.06,$1.69,13.05
2011-03-31,20.85,$1.63,12.79
2010-12-31,18.65,$1.54,12.11
2010-09-30,17.0,$1.52,11.19
2010-06-30,14.9,$1.33,11.21
2010-03-31,15.59,$1.23,12.68
2009-12-31,15.91,$-1.53,0.0
