IMAC Holdings PE Ratio Historical Data,IMAC Holdings PE Ratio Historical Data,IMAC Holdings PE Ratio Historical Data,IMAC Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.42,,0.0
2024-09-30,1.12,$-3.45,0.0
2024-06-30,2.13,$-4.70,0.0
2024-03-31,3.06,$-4.18,0.0
2023-12-31,2.21,$-7.13,0.0
2023-09-30,2.01,$-14.04,0.0
2023-06-30,3.3,$-18.32,0.0
2023-03-31,4.29,$-19.22,0.0
2022-12-31,5.99,$-19.52,0.0
2022-09-30,11.37,$-12.61,0.0
2022-06-30,24.88,$-7.81,0.0
2022-03-31,30.9,$-8.11,0.0
2021-12-31,34.2,$-9.01,0.0
2021-09-30,44.4,$-7.81,0.0
2021-06-30,59.4,$-9.31,0.0
2021-03-31,49.5,$-12.91,0.0
2020-12-31,45.9,$-13.81,0.0
2020-09-30,23.34,$-19.82,0.0
2020-06-30,37.5,$-21.92,0.0
2020-03-31,60.6,$-22.22,0.0
2019-12-31,45.0,$-24.92,0.0
