Arcadium Lithium PE Ratio Historical Data,Arcadium Lithium PE Ratio Historical Data,Arcadium Lithium PE Ratio Historical Data,Arcadium Lithium PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-05,5.84,,inf
2024-12-31,5.13,0.0,0.0
2024-09-30,2.85,0.0,0.0
2024-06-30,3.36,0.0,0.0
2024-03-31,4.31,0.0,0.0
2023-12-31,17.98,0.0,0.0
2023-09-30,18.41,0.0,0.0
2023-06-30,27.43,0.0,0.0
2023-03-31,21.72,0.0,0.0
2022-12-31,19.87,0.0,0.0
2022-09-30,30.65,0.0,0.0
2022-06-30,22.69,0.0,0.0
2022-03-31,26.07,0.0,0.0
2021-12-31,24.38,0.0,0.0
2021-09-30,23.11,0.0,0.0
2021-06-30,19.36,0.0,0.0
2021-03-31,17.32,0.0,0.0
2020-12-31,18.84,0.0,0.0
2020-09-30,8.97,0.0,0.0
2020-06-30,6.16,0.0,0.0
2020-03-31,5.25,0.0,0.0
2019-12-31,8.55,0.0,0.0
2019-09-30,6.69,0.0,0.0
