Newmark PE Ratio Historical Data,Newmark PE Ratio Historical Data,Newmark PE Ratio Historical Data,Newmark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.58,,35.94
2024-12-31,12.81,$0.35,36.6
2024-09-30,15.5,$0.30,51.66
2024-06-30,10.19,$0.26,39.18
2024-03-31,11.01,$0.22,50.05
2023-12-31,10.85,$0.25,43.41
2023-09-30,6.34,$0.09,70.47
2023-06-30,6.11,$0.18,33.94
2023-03-31,6.92,$0.40,17.3
2022-12-31,7.76,$0.46,16.87
2022-09-30,7.82,$1.15,6.8
2022-06-30,9.35,$1.63,5.74
2022-03-31,15.35,$3.50,4.39
2021-12-31,18.03,$3.66,4.93
2021-09-30,13.79,$2.89,4.77
2021-06-30,11.56,$2.65,4.36
2021-03-31,9.62,$0.51,18.87
2020-12-31,7.01,$0.38,18.43
2020-09-30,4.15,$0.33,12.56
2020-06-30,4.65,$0.42,11.08
2020-03-31,4.06,$0.54,7.52
2019-12-31,12.72,$0.59,21.56
2019-09-30,8.5,$0.76,11.18
2019-06-30,8.33,$0.71,11.73
2019-03-31,7.65,$0.60,12.75
2018-12-31,7.29,$0.64,11.38
2018-09-30,10.07,$0.21,47.96
